"DISTRITO","UNIDADE","AREA","ANO","MES","COD_PROCEDIMENTO","QUANTIDADE"
"Centro","CS SACO DOS LIMÕES",1,2018,7,"0214010082",1
"Centro","CS SACO DOS LIMÕES",1,2018,4,"0214010090",2
"Centro","CS SACO DOS LIMÕES",1,2018,6,"0214010090",1
"Centro","CS SACO DOS LIMÕES",1,2018,7,"0214010090",1
"Centro","CS SACO DOS LIMÕES",1,2018,4,"0214010104",2
"Centro","CS SACO DOS LIMÕES",1,2018,6,"0214010104",1
"Centro","CS SACO DOS LIMÕES",1,2018,7,"0214010104",2
"Centro","CS SACO DOS LIMÕES",2,2018,5,"0214010040",1
"Centro","CS SACO DOS LIMÕES",2,2018,6,"0214010040",1
"Centro","CS SACO DOS LIMÕES",2,2018,7,"0214010040",2
"Centro","CS SACO DOS LIMÕES",2,2018,4,"0214010058",1
"Centro","CS SACO DOS LIMÕES",2,2018,5,"0214010058",1
"Centro","CS SACO DOS LIMÕES",2,2018,6,"0214010058",7
"Centro","CS SACO DOS LIMÕES",2,2018,7,"0214010058",4
"Centro","CS SACO DOS LIMÕES",2,2018,4,"0214010074",1
"Centro","CS SACO DOS LIMÕES",2,2018,5,"0214010074",1
"Centro","CS SACO DOS LIMÕES",2,2018,6,"0214010074",5
"Centro","CS SACO DOS LIMÕES",2,2018,7,"0214010074",2
"Centro","CS SACO DOS LIMÕES",2,2018,5,"0214010082",1
"Centro","CS SACO DOS LIMÕES",2,2018,6,"0214010082",5
"Centro","CS SACO DOS LIMÕES",2,2018,7,"0214010082",2
"Centro","CS SACO DOS LIMÕES",2,2018,5,"0214010090",1
"Centro","CS SACO DOS LIMÕES",2,2018,6,"0214010090",6
"Centro","CS SACO DOS LIMÕES",2,2018,7,"0214010090",1
"Centro","CS SACO DOS LIMÕES",2,2018,5,"0214010104",1
"Centro","CS SACO DOS LIMÕES",2,2018,6,"0214010104",5
"Centro","CS SACO DOS LIMÕES",2,2018,7,"0214010104",1
"Centro","CS SACO DOS LIMÕES",3,2018,5,"0214010058",2
"Centro","CS SACO DOS LIMÕES",3,2018,5,"0214010074",1
"Centro","CS SACO DOS LIMÕES",3,2018,5,"0214010090",1
"Centro","CS SACO DOS LIMÕES",3,2018,5,"0214010104",1
"Centro","CS SACO DOS LIMÕES",4,2018,6,"0214010058",1
"Centro","CS SACO DOS LIMÕES",4,2018,6,"0214010074",1
"Centro","CS TRINDADE",0,2018,5,"0214010058",1
"Centro","CS TRINDADE",0,2018,6,"0214010058",2
"Centro","CS TRINDADE",0,2018,7,"0214010058",1
"Centro","CS TRINDADE",0,2018,5,"0214010074",1
"Centro","CS TRINDADE",0,2018,6,"0214010074",1
"Centro","CS TRINDADE",0,2018,7,"0214010074",2
"Centro","CS TRINDADE",0,2018,5,"0214010090",1
"Centro","CS TRINDADE",0,2018,6,"0214010090",1
"Centro","CS TRINDADE",0,2018,7,"0214010090",1
"Centro","CS TRINDADE",0,2018,5,"0214010104",1
"Centro","CS TRINDADE",0,2018,6,"0214010104",1
"Centro","CS TRINDADE",0,2018,7,"0214010104",1
"Centro","CS TRINDADE",1,2018,4,"0214010058",1
"Centro","CS TRINDADE",1,2018,5,"0214010058",1
"Centro","CS TRINDADE",1,2018,7,"0214010058",1
"Centro","CS TRINDADE",1,2018,5,"0214010074",1
"Centro","CS TRINDADE",1,2018,7,"0214010074",1
"Centro","CS TRINDADE",1,2018,5,"0214010090",1
"Centro","CS TRINDADE",1,2018,7,"0214010090",1
"Centro","CS TRINDADE",1,2018,5,"0214010104",1
"Centro","CS TRINDADE",1,2018,7,"0214010104",1
"Centro","CS TRINDADE",2,2018,4,"0214010058",1
"Centro","CS TRINDADE",2,2018,5,"0214010058",3
"Centro","CS TRINDADE",2,2018,6,"0214010058",7
"Centro","CS TRINDADE",2,2018,7,"0214010058",2
"Centro","CS TRINDADE",2,2018,4,"0214010074",1
"Centro","CS TRINDADE",2,2018,5,"0214010074",3
"Centro","CS TRINDADE",2,2018,6,"0214010074",7
"Centro","CS TRINDADE",2,2018,7,"0214010074",2
"Centro","CS TRINDADE",2,2018,4,"0214010090",1
"Centro","CS TRINDADE",2,2018,5,"0214010090",3
"Centro","CS TRINDADE",2,2018,6,"0214010090",5
"Centro","CS TRINDADE",2,2018,7,"0214010090",2
"Centro","CS TRINDADE",2,2018,4,"0214010104",1
"Centro","CS TRINDADE",2,2018,5,"0214010104",3
"Centro","CS TRINDADE",2,2018,6,"0214010104",7
"Centro","CS TRINDADE",2,2018,7,"0214010104",2
"Centro","CS TRINDADE",3,2018,5,"0214010058",4
"Centro","CS TRINDADE",3,2018,6,"0214010058",1
"Centro","CS TRINDADE",3,2018,7,"0214010058",1
"Centro","CS TRINDADE",3,2018,5,"0214010074",3
"Centro","CS TRINDADE",3,2018,6,"0214010074",1
"Centro","CS TRINDADE",3,2018,7,"0214010074",1
"Centro","CS TRINDADE",3,2018,5,"0214010090",2
"Centro","CS TRINDADE",3,2018,6,"0214010090",1
"Centro","CS TRINDADE",3,2018,7,"0214010090",1
"Centro","CS TRINDADE",3,2018,5,"0214010104",3
"Centro","CS TRINDADE",3,2018,6,"0214010104",1
"Centro","CS TRINDADE",3,2018,7,"0214010104",1
"Centro","CS TRINDADE",4,2018,4,"0214010058",3
"Centro","CS TRINDADE",4,2018,5,"0214010058",1
"Centro","CS TRINDADE",4,2018,6,"0214010058",5
"Centro","CS TRINDADE",4,2018,7,"0214010058",3
"Centro","CS TRINDADE",4,2018,4,"0214010074",3
"Centro","CS TRINDADE",4,2018,5,"0214010074",1
"Centro","CS TRINDADE",4,2018,6,"0214010074",4
"Centro","CS TRINDADE",4,2018,7,"0214010074",3
"Centro","CS TRINDADE",4,2018,4,"0214010090",2
"Centro","CS TRINDADE",4,2018,5,"0214010090",1
"Centro","CS TRINDADE",4,2018,6,"0214010090",4
"Centro","CS TRINDADE",4,2018,7,"0214010090",3
"Centro","CS TRINDADE",4,2018,6,"0214010104",4
"Centro","CS TRINDADE",4,2018,7,"0214010104",3
"Continente","CS ABRAÃO",0,2018,4,"0214010058",1
"Continente","CS ABRAÃO",0,2018,4,"0214010074",1
"Continente","CS ABRAÃO",0,2018,4,"0214010090",1
"Continente","CS ABRAÃO",1,2018,4,"0214010058",1
"Continente","CS ABRAÃO",1,2018,6,"0214010058",1
"Continente","CS ABRAÃO",1,2018,7,"0214010058",1
"Continente","CS ABRAÃO",1,2018,4,"0214010074",1
"Continente","CS ABRAÃO",1,2018,6,"0214010074",2
"Continente","CS ABRAÃO",1,2018,7,"0214010074",1
"Continente","CS ABRAÃO",1,2018,4,"0214010090",1
"Continente","CS ABRAÃO",1,2018,6,"0214010090",1
"Continente","CS ABRAÃO",2,2018,4,"0214010058",3
"Continente","CS ABRAÃO",2,2018,7,"0214010058",1
"Continente","CS ABRAÃO",2,2018,4,"0214010074",1
"Continente","CS ABRAÃO",2,2018,6,"0214010074",1
"Continente","CS ABRAÃO",2,2018,7,"0214010074",1
"Continente","CS ABRAÃO",2,2018,4,"0214010090",1
"Continente","CS ABRAÃO",2,2018,7,"0214010090",1
"Continente","CS BALNEÁRIO",0,2018,4,"0214010058",1
"Continente","CS BALNEÁRIO",0,2018,5,"0214010058",1
"Continente","CS BALNEÁRIO",0,2018,6,"0214010058",2
"Continente","CS BALNEÁRIO",0,2018,4,"0214010074",1
"Continente","CS BALNEÁRIO",0,2018,5,"0214010074",1
"Continente","CS BALNEÁRIO",0,2018,6,"0214010074",1
"Continente","CS BALNEÁRIO",0,2018,4,"0214010090",1
"Continente","CS BALNEÁRIO",0,2018,5,"0214010090",1
"Continente","CS BALNEÁRIO",0,2018,6,"0214010090",2
"Continente","CS BALNEÁRIO",0,2018,4,"0214010104",1
"Continente","CS BALNEÁRIO",0,2018,5,"0214010104",1
"Continente","CS BALNEÁRIO",0,2018,6,"0214010104",1
"Continente","CS BALNEÁRIO",1,2018,5,"0214010058",1
"Continente","CS BALNEÁRIO",1,2018,6,"0214010058",1
"Continente","CS BALNEÁRIO",1,2018,5,"0214010074",1
"Continente","CS BALNEÁRIO",1,2018,6,"0214010074",1
"Continente","CS BALNEÁRIO",1,2018,5,"0214010090",1
"Continente","CS BALNEÁRIO",1,2018,6,"0214010090",1
"Continente","CS BALNEÁRIO",1,2018,5,"0214010104",1
"Continente","CS BALNEÁRIO",1,2018,6,"0214010104",1
"Continente","CS CAPOEIRAS",0,2018,4,"0214010058",1
"Continente","CS CAPOEIRAS",0,2018,5,"0214010058",2
"Continente","CS CAPOEIRAS",0,2018,4,"0214010074",1
"Continente","CS CAPOEIRAS",0,2018,5,"0214010074",1
"Continente","CS CAPOEIRAS",0,2018,4,"0214010090",1
"Continente","CS CAPOEIRAS",0,2018,5,"0214010090",1
"Continente","CS CAPOEIRAS",0,2018,4,"0214010104",1
"Continente","CS CAPOEIRAS",0,2018,5,"0214010104",1
"Continente","CS CAPOEIRAS",1,2018,4,"0214010058",2
"Continente","CS CAPOEIRAS",1,2018,7,"0214010058",2
"Continente","CS CAPOEIRAS",1,2018,4,"0214010074",2
"Continente","CS CAPOEIRAS",1,2018,6,"0214010074",1
"Continente","CS CAPOEIRAS",1,2018,7,"0214010074",2
"Continente","CS CAPOEIRAS",1,2018,4,"0214010090",2
"Continente","CS CAPOEIRAS",1,2018,7,"0214010090",2
"Continente","CS CAPOEIRAS",1,2018,4,"0214010104",2
"Continente","CS CAPOEIRAS",1,2018,7,"0214010104",2
