"DISTRITO","UNIDADE","AREA","ANO","MES","PRIM_CONS_ODO","TC","PROCEDIMENTOS"
"Centro","CS TRINDADE",5,2018,6,5,2,38
"Centro","CS TRINDADE",5,2018,7,4,6,45
"Continente","CS ABRAÃO",0,2018,4,9,2,53
"Continente","CS ABRAÃO",0,2018,5,11,1,48
"Continente","CS ABRAÃO",0,2018,6,27,5,122
"Continente","CS ABRAÃO",0,2018,7,7,2,58
"Continente","CS ABRAÃO",1,2018,4,2,1,24
"Continente","CS ABRAÃO",1,2018,5,14,13,100
"Continente","CS ABRAÃO",1,2018,6,9,10,125
"Continente","CS ABRAÃO",1,2018,7,23,12,102
"Continente","CS ABRAÃO",2,2018,4,3,1,12
"Continente","CS ABRAÃO",2,2018,5,9,5,35
"Continente","CS ABRAÃO",2,2018,6,10,6,79
"Continente","CS ABRAÃO",2,2018,7,21,11,117
"Continente","CS BALNEÁRIO",0,2018,4,6,4,35
"Continente","CS BALNEÁRIO",0,2018,5,19,11,56
"Continente","CS BALNEÁRIO",0,2018,6,29,21,134
"Continente","CS BALNEÁRIO",0,2018,7,9,5,61
"Continente","CS BALNEÁRIO",1,2018,4,9,4,20
"Continente","CS BALNEÁRIO",1,2018,5,13,10,48
"Continente","CS BALNEÁRIO",1,2018,6,23,17,123
"Continente","CS BALNEÁRIO",1,2018,7,37,24,131
"Continente","CS CAPOEIRAS",0,2018,4,29,17,174
"Continente","CS CAPOEIRAS",0,2018,5,28,18,175
"Continente","CS CAPOEIRAS",0,2018,6,14,14,136
"Continente","CS CAPOEIRAS",0,2018,7,26,18,188
"Continente","CS CAPOEIRAS",1,2018,4,19,13,78
"Continente","CS CAPOEIRAS",1,2018,5,19,16,88
"Continente","CS CAPOEIRAS",1,2018,6,15,13,87
"Continente","CS CAPOEIRAS",1,2018,7,15,5,82
"Continente","CS CAPOEIRAS",2,2018,4,15,8,93
"Continente","CS CAPOEIRAS",2,2018,5,22,18,100
"Continente","CS CAPOEIRAS",2,2018,6,11,10,89
"Continente","CS CAPOEIRAS",2,2018,7,20,10,135
"Continente","CS COLONINHA",0,2018,4,13,13,63
"Continente","CS COLONINHA",0,2018,5,10,8,58
"Continente","CS COLONINHA",0,2018,6,42,28,200
"Continente","CS COLONINHA",0,2018,7,38,24,189
"Continente","CS COLONINHA",1,2018,4,0,0,21
"Continente","CS COLONINHA",1,2018,5,22,12,87
"Continente","CS COLONINHA",1,2018,6,31,24,213
"Continente","CS COLONINHA",1,2018,7,28,21,174
"Continente","CS COLONINHA",2,2018,4,28,20,55
"Continente","CS COLONINHA",2,2018,5,2,1,22
"Continente","CS COLONINHA",2,2018,6,50,45,184
"Continente","CS COLONINHA",2,2018,7,48,36,185
"Continente","CS COQUEIROS",0,2018,4,14,9,91
"Continente","CS COQUEIROS",0,2018,5,33,11,163
"Continente","CS COQUEIROS",0,2018,6,33,18,243
"Continente","CS COQUEIROS",0,2018,7,23,16,163
"Continente","CS COQUEIROS",1,2018,4,17,7,106
"Continente","CS COQUEIROS",1,2018,5,26,13,210
"Continente","CS COQUEIROS",1,2018,6,0,0,80
"Continente","CS COQUEIROS",1,2018,7,59,22,306
"Continente","CS COQUEIROS",2,2018,4,29,28,279
"Continente","CS COQUEIROS",2,2018,5,22,13,178
"Continente","CS COQUEIROS",2,2018,6,47,33,438
"Continente","CS COQUEIROS",2,2018,7,41,30,390
"Continente","CS ESTREITO",0,2018,4,11,9,66
"Continente","CS ESTREITO",0,2018,5,15,19,101
"Continente","CS ESTREITO",0,2018,6,23,31,215
"Continente","CS ESTREITO",0,2018,7,11,8,68
"Continente","CS ESTREITO",1,2018,4,3,3,27
"Continente","CS ESTREITO",1,2018,5,8,5,51
"Continente","CS ESTREITO",1,2018,6,10,8,79
"Continente","CS ESTREITO",1,2018,7,9,6,66
"Continente","CS ESTREITO",2,2018,4,1,3,47
"Continente","CS ESTREITO",2,2018,5,11,4,87
"Continente","CS ESTREITO",2,2018,6,18,11,141
"Continente","CS ESTREITO",2,2018,7,17,11,167
"Continente","CS ESTREITO",3,2018,4,1,1,21
"Continente","CS ESTREITO",3,2018,5,4,4,71
"Continente","CS ESTREITO",3,2018,6,5,2,52
"Continente","CS ESTREITO",3,2018,7,52,31,248
"Continente","CS JARDIM ATLÂNTICO",0,2018,4,11,11,99
