"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q2",216
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q2",222
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q2",193
"Continente","CS SAPE",31,"2013 Q2",8
"Centro","CS SACO DOS LIMÕES",310,"2013 Q2",73
"Centro","CS SACO DOS LIMÕES",311,"2013 Q2",142
"Centro","CS SACO DOS LIMÕES",312,"2013 Q2",196
"Centro","CS SACO DOS LIMÕES",313,"2013 Q2",36
"Centro","CS SACO DOS LIMÕES",314,"2013 Q2",17
"Centro","CS JOÃO PAULO",320,"2013 Q2",31
"Centro","CS JOÃO PAULO",321,"2013 Q2",19
"Norte","CS SACO GRANDE",330,"2013 Q2",33
"Norte","CS SACO GRANDE",331,"2013 Q2",61
"Norte","CS SACO GRANDE",332,"2013 Q2",38
"Norte","CS SACO GRANDE",333,"2013 Q2",32
"Norte","CS SACO GRANDE",334,"2013 Q2",29
"Norte","CS SACO GRANDE",335,"2013 Q2",41
"Norte","CS VARGEM PEQUENA",340,"2013 Q2",105
"Norte","CS RATONES",350,"2013 Q2",126
"Norte","CS RATONES",351,"2013 Q2",81
"Norte","CS SANTO ANTONIO LISBOA",360,"2013 Q2",69
"Norte","CS SANTO ANTONIO LISBOA",361,"2013 Q2",95
"Norte","CS PONTA DAS CANAS",370,"2013 Q2",186
"Norte","CS PONTA DAS CANAS",371,"2013 Q2",138
"Norte","CS CANASVIEIRAS",380,"2013 Q2",315
"Norte","CS CANASVIEIRAS",381,"2013 Q2",321
"Norte","CS CANASVIEIRAS",382,"2013 Q2",246
"Norte","CS CANASVIEIRAS",383,"2013 Q2",223
"Norte","CS CANASVIEIRAS",384,"2013 Q2",348
"Norte","CS JURERE",390,"2013 Q2",212
"Continente","CS MONTE CRISTO",40,"2013 Q2",9
"Norte","CS CACHOEIRA BOM JESUS",400,"2013 Q2",321
"Norte","CS CACHOEIRA BOM JESUS",401,"2013 Q2",258
"Continente","CS MONTE CRISTO",41,"2013 Q2",11
"Norte","CS VARGEM GRANDE",410,"2013 Q2",273
"Continente","CS MONTE CRISTO",42,"2013 Q2",5
"Norte","CS RIO VERMELHO",420,"2013 Q2",274
"Norte","CS RIO VERMELHO",421,"2013 Q2",202
"Norte","CS RIO VERMELHO",422,"2013 Q2",151
"Norte","CS RIO VERMELHO",423,"2013 Q2",211
"Norte","CS RIO VERMELHO",424,"2013 Q2",139
"Continente","CS MONTE CRISTO",43,"2013 Q2",10
"Norte","CS INGLESES",431,"2013 Q2",159
"Norte","CS INGLESES",432,"2013 Q2",316
"Norte","CS INGLESES",433,"2013 Q2",252
"Norte","CS INGLESES",434,"2013 Q2",158
"Norte","CS INGLESES",435,"2013 Q2",206
"Norte","CS INGLESES",436,"2013 Q2",252
"Norte","CS INGLESES",437,"2013 Q2",57
"Norte","CS INGLESES",438,"2013 Q2",57
"Continente","CS MONTE CRISTO",44,"2013 Q2",15
"Norte","CS BARRA DA LAGOA",440,"2013 Q2",61
"Norte","CS BARRA DA LAGOA",441,"2013 Q2",54
"Norte","CS BARRA DA LAGOA",442,"2013 Q2",15
"Continente","CS MONTE CRISTO",45,"2013 Q2",11
"Sul","CS CANTO DA LAGOA",450,"2013 Q2",75
"Continente","CS MONTE CRISTO",46,"2013 Q2",4
"Sul","CS COSTA DA LAGOA",460,"2013 Q2",15
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2013 Q2",52
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2013 Q2",73
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2013 Q2",52
"Continente","CS ABRAÃO",570,"2013 Q2",17
"Continente","CS ABRAÃO",571,"2013 Q2",12
"Continente","CS ABRAÃO",572,"2013 Q2",14
"Continente","CS CAPOEIRAS",60,"2013 Q2",8
"Continente","CS COQUEIROS",600,"2013 Q2",11
"Continente","CS COQUEIROS",601,"2013 Q2",18
"Continente","CS COQUEIROS",602,"2013 Q2",23
"Continente","CS CAPOEIRAS",61,"2013 Q2",12
"Continente","CS CAPOEIRAS",62,"2013 Q2",13
"Centro","CS AGRONÔMICA",690,"2013 Q2",70
"Centro","CS AGRONÔMICA",691,"2013 Q2",72
"Centro","CS AGRONÔMICA",692,"2013 Q2",58
"Centro","CS AGRONÔMICA",693,"2013 Q2",51
"Continente","CS COLONINHA",70,"2013 Q2",13
"Continente","CS COLONINHA",71,"2013 Q2",13
"Continente","CS COLONINHA",72,"2013 Q2",10
"Sul","CS FAZENDA DO RIO TAVARES",780,"2013 Q2",220
"Sul","CS FAZENDA DO RIO TAVARES",781,"2013 Q2",312
"Continente","CS ESTREITO",80,"2013 Q2",10
"Continente","CS ESTREITO",81,"2013 Q2",11
"Continente","CS ESTREITO",82,"2013 Q2",9
"Continente","CS ESTREITO",83,"2013 Q2",10
"Centro","CS TRINDADE",850,"2013 Q2",56
"Centro","CS TRINDADE",851,"2013 Q2",58
"Centro","CS TRINDADE",852,"2013 Q2",34
"Centro","CS TRINDADE",853,"2013 Q2",55
"Centro","CS TRINDADE",854,"2013 Q2",56
"Continente","CS VILA APARECIDA",90,"2013 Q2",8
"Continente","CS VILA APARECIDA",91,"2013 Q2",11
"Centro","CS CENTRO",950,"2013 Q2",62
"Centro","CS CENTRO",951,"2013 Q2",16
"Centro","CS CENTRO",952,"2013 Q2",53
"Norte","CS SANTINHO",980,"2013 Q2",181
"Norte","CS SANTINHO",981,"2013 Q2",224
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q3",7
"Continente","CS NOVO CONTINENTE",100,"2013 Q3",15
"Continente","CS NOVO CONTINENTE",101,"2013 Q3",18
"Continente","CS NOVO CONTINENTE",102,"2013 Q3",16
"Continente","CS NOVO CONTINENTE",103,"2013 Q3",6
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q3",5
"Centro","CS MONTE SERRAT",120,"2013 Q3",33
"Centro","CS MONTE SERRAT",121,"2013 Q3",28
"Centro","CS MONTE SERRAT",122,"2013 Q3",19
"Centro","CS PRAINHA",130,"2013 Q3",67
"Centro","CS PRAINHA",131,"2013 Q3",94
"Centro","CS PRAINHA",132,"2013 Q3",83
"Centro","CS PANTANAL",160,"2013 Q3",50
"Centro","CS PANTANAL",161,"2013 Q3",46
"Centro","CS CÓRREGO GRANDE",170,"2013 Q3",41
"Centro","CS CÓRREGO GRANDE",171,"2013 Q3",19
"Centro","CS CÓRREGO GRANDE",172,"2013 Q3",14
"Centro","CS ITACORUBI",190,"2013 Q3",48
"Centro","CS ITACORUBI",191,"2013 Q3",51
"Centro","CS ITACORUBI",192,"2013 Q3",26
"Centro","CS ITACORUBI",193,"2013 Q3",26
"Continente","CS BALNEÁRIO",20,"2013 Q3",12
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q3",80
"Continente","CS BALNEÁRIO",21,"2013 Q3",9
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q3",278
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q3",117
"Sul","CS PANTANO DO SUL",230,"2013 Q3",123
"Sul","CS ARMAÇÃO",240,"2013 Q3",152
"Sul","CS ARMAÇÃO",241,"2013 Q3",123
"Sul","CS ARMAÇÃO",242,"2013 Q3",27
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q3",213
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q3",251
"Sul","CS TAPERA",260,"2013 Q3",141
"Sul","CS TAPERA",261,"2013 Q3",138
"Sul","CS TAPERA",262,"2013 Q3",191
"Sul","CS TAPERA",263,"2013 Q3",141
"Sul","CS CARIANOS",270,"2013 Q3",91
"Sul","CS CARIANOS",271,"2013 Q3",127
"Sul","CS CARIANOS",272,"2013 Q3",12
"Sul","CS CAMPECHE",280,"2013 Q3",320
"Sul","CS CAMPECHE",281,"2013 Q3",234
"Sul","CS RIO TAVARES",290,"2013 Q3",147
"Sul","CS RIO TAVARES",291,"2013 Q3",109
"Sul","CS RIO TAVARES",292,"2013 Q3",69
"Sul","CS RIO TAVARES",293,"2013 Q3",19
"Continente","CS SAPE",30,"2013 Q3",15
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q3",163
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q3",216
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q3",238
"Continente","CS SAPE",31,"2013 Q3",8
"Centro","CS SACO DOS LIMÕES",310,"2013 Q3",82
"Centro","CS SACO DOS LIMÕES",311,"2013 Q3",144
"Centro","CS SACO DOS LIMÕES",312,"2013 Q3",200
"Centro","CS SACO DOS LIMÕES",313,"2013 Q3",34
"Centro","CS SACO DOS LIMÕES",314,"2013 Q3",13
"Centro","CS JOÃO PAULO",320,"2013 Q3",27
"Centro","CS JOÃO PAULO",321,"2013 Q3",15
"Norte","CS SACO GRANDE",330,"2013 Q3",47
"Norte","CS SACO GRANDE",331,"2013 Q3",54
"Norte","CS SACO GRANDE",332,"2013 Q3",51
"Norte","CS SACO GRANDE",333,"2013 Q3",22
"Norte","CS SACO GRANDE",334,"2013 Q3",40
"Norte","CS SACO GRANDE",335,"2013 Q3",49
"Norte","CS VARGEM PEQUENA",340,"2013 Q3",148
"Norte","CS RATONES",350,"2013 Q3",134
"Norte","CS RATONES",351,"2013 Q3",88
"Norte","CS SANTO ANTONIO LISBOA",360,"2013 Q3",82
"Norte","CS SANTO ANTONIO LISBOA",361,"2013 Q3",116
"Norte","CS PONTA DAS CANAS",370,"2013 Q3",187
"Norte","CS PONTA DAS CANAS",371,"2013 Q3",153
"Norte","CS CANASVIEIRAS",380,"2013 Q3",319
"Norte","CS CANASVIEIRAS",381,"2013 Q3",363
"Norte","CS CANASVIEIRAS",382,"2013 Q3",292
"Norte","CS CANASVIEIRAS",383,"2013 Q3",262
"Norte","CS CANASVIEIRAS",384,"2013 Q3",327
"Norte","CS JURERE",390,"2013 Q3",250
"Continente","CS MONTE CRISTO",40,"2013 Q3",16
"Norte","CS CACHOEIRA BOM JESUS",400,"2013 Q3",320
"Norte","CS CACHOEIRA BOM JESUS",401,"2013 Q3",303
"Continente","CS MONTE CRISTO",41,"2013 Q3",11
"Norte","CS VARGEM GRANDE",410,"2013 Q3",285
"Continente","CS MONTE CRISTO",42,"2013 Q3",17
"Norte","CS RIO VERMELHO",420,"2013 Q3",286
"Norte","CS RIO VERMELHO",421,"2013 Q3",211
"Norte","CS RIO VERMELHO",422,"2013 Q3",182
"Norte","CS RIO VERMELHO",423,"2013 Q3",261
"Norte","CS RIO VERMELHO",424,"2013 Q3",145
"Continente","CS MONTE CRISTO",43,"2013 Q3",18
"Norte","CS INGLESES",431,"2013 Q3",202
"Norte","CS INGLESES",432,"2013 Q3",327
"Norte","CS INGLESES",433,"2013 Q3",301
"Norte","CS INGLESES",434,"2013 Q3",188
"Norte","CS INGLESES",435,"2013 Q3",288
"Norte","CS INGLESES",436,"2013 Q3",294
"Norte","CS INGLESES",437,"2013 Q3",64
"Norte","CS INGLESES",438,"2013 Q3",55
"Continente","CS MONTE CRISTO",44,"2013 Q3",12
"Norte","CS BARRA DA LAGOA",440,"2013 Q3",75
"Norte","CS BARRA DA LAGOA",441,"2013 Q3",82
"Norte","CS BARRA DA LAGOA",442,"2013 Q3",25
"Continente","CS MONTE CRISTO",45,"2013 Q3",10
"Sul","CS CANTO DA LAGOA",450,"2013 Q3",90
"Continente","CS MONTE CRISTO",46,"2013 Q3",1
"Sul","CS COSTA DA LAGOA",460,"2013 Q3",20
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2013 Q3",65
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2013 Q3",74
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2013 Q3",54
"Continente","CS ABRAÃO",570,"2013 Q3",15
"Continente","CS ABRAÃO",571,"2013 Q3",12
"Continente","CS ABRAÃO",572,"2013 Q3",10
"Continente","CS CAPOEIRAS",60,"2013 Q3",13
"Continente","CS COQUEIROS",600,"2013 Q3",16
"Continente","CS COQUEIROS",601,"2013 Q3",22
"Continente","CS COQUEIROS",602,"2013 Q3",16
"Continente","CS CAPOEIRAS",61,"2013 Q3",9
"Continente","CS CAPOEIRAS",62,"2013 Q3",18
"Centro","CS AGRONÔMICA",690,"2013 Q3",80
"Centro","CS AGRONÔMICA",691,"2013 Q3",89
"Centro","CS AGRONÔMICA",692,"2013 Q3",71
"Centro","CS AGRONÔMICA",693,"2013 Q3",53
"Continente","CS COLONINHA",70,"2013 Q3",14
"Continente","CS COLONINHA",71,"2013 Q3",5
"Continente","CS COLONINHA",72,"2013 Q3",15
"Sul","CS FAZENDA DO RIO TAVARES",780,"2013 Q3",264
"Sul","CS FAZENDA DO RIO TAVARES",781,"2013 Q3",304
"Continente","CS ESTREITO",80,"2013 Q3",14
"Continente","CS ESTREITO",81,"2013 Q3",9
"Continente","CS ESTREITO",82,"2013 Q3",14
"Continente","CS ESTREITO",83,"2013 Q3",15
"Centro","CS TRINDADE",850,"2013 Q3",37
"Centro","CS TRINDADE",851,"2013 Q3",55
"Centro","CS TRINDADE",852,"2013 Q3",35
"Centro","CS TRINDADE",853,"2013 Q3",31
"Centro","CS TRINDADE",854,"2013 Q3",47
"Continente","CS VILA APARECIDA",90,"2013 Q3",11
"Continente","CS VILA APARECIDA",91,"2013 Q3",15
"Centro","CS CENTRO",950,"2013 Q3",69
"Centro","CS CENTRO",951,"2013 Q3",35
"Centro","CS CENTRO",952,"2013 Q3",50
"Norte","CS SANTINHO",980,"2013 Q3",195
"Norte","CS SANTINHO",981,"2013 Q3",240
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q4",12
"Continente","CS NOVO CONTINENTE",100,"2013 Q4",7
"Continente","CS NOVO CONTINENTE",101,"2013 Q4",20
"Continente","CS NOVO CONTINENTE",102,"2013 Q4",16
"Continente","CS NOVO CONTINENTE",103,"2013 Q4",10
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q4",4
"Centro","CS MONTE SERRAT",120,"2013 Q4",28
"Centro","CS MONTE SERRAT",121,"2013 Q4",15
"Centro","CS MONTE SERRAT",122,"2013 Q4",30
"Centro","CS PRAINHA",130,"2013 Q4",56
"Centro","CS PRAINHA",131,"2013 Q4",79
"Centro","CS PRAINHA",132,"2013 Q4",82
"Centro","CS PANTANAL",160,"2013 Q4",43
"Centro","CS PANTANAL",161,"2013 Q4",27
"Centro","CS CÓRREGO GRANDE",170,"2013 Q4",42
"Centro","CS CÓRREGO GRANDE",171,"2013 Q4",17
"Centro","CS CÓRREGO GRANDE",172,"2013 Q4",7
"Centro","CS ITACORUBI",190,"2013 Q4",28
"Centro","CS ITACORUBI",191,"2013 Q4",34
"Centro","CS ITACORUBI",192,"2013 Q4",25
"Centro","CS ITACORUBI",193,"2013 Q4",16
"Continente","CS BALNEÁRIO",20,"2013 Q4",15
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q4",63
"Continente","CS BALNEÁRIO",21,"2013 Q4",8
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q4",219
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q4",82
"Sul","CS PANTANO DO SUL",230,"2013 Q4",91
"Sul","CS ARMAÇÃO",240,"2013 Q4",118
"Sul","CS ARMAÇÃO",241,"2013 Q4",92
"Sul","CS ARMAÇÃO",242,"2013 Q4",20
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q4",164
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q4",177
"Sul","CS TAPERA",260,"2013 Q4",106
"Sul","CS TAPERA",261,"2013 Q4",117
"Sul","CS TAPERA",262,"2013 Q4",155
"Sul","CS TAPERA",263,"2013 Q4",116
"Sul","CS CARIANOS",270,"2013 Q4",63
"Sul","CS CARIANOS",271,"2013 Q4",84
"Sul","CS CARIANOS",272,"2013 Q4",8
"Sul","CS CAMPECHE",280,"2013 Q4",254
"Sul","CS CAMPECHE",281,"2013 Q4",160
"Sul","CS RIO TAVARES",290,"2013 Q4",105
"Sul","CS RIO TAVARES",291,"2013 Q4",82
"Sul","CS RIO TAVARES",292,"2013 Q4",33
"Sul","CS RIO TAVARES",293,"2013 Q4",24
"Continente","CS SAPE",30,"2013 Q4",7
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2013 Q4",145
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2013 Q4",158
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2013 Q4",152
"Continente","CS SAPE",31,"2013 Q4",7
"Centro","CS SACO DOS LIMÕES",310,"2013 Q4",76
"Centro","CS SACO DOS LIMÕES",311,"2013 Q4",102
"Centro","CS SACO DOS LIMÕES",312,"2013 Q4",149
