"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Continente","CS BALNEÁRIO","2014 Q3",19
"Norte","CS BARRA DA LAGOA","2014 Q3",172
"Norte","CS CACHOEIRA BOM JESUS","2014 Q3",555
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q3",114
"Sul","CS CAMPECHE","2014 Q3",534
"Norte","CS CANASVIEIRAS","2014 Q3",1678
"Sul","CS CANTO DA LAGOA","2014 Q3",79
"Continente","CS CAPOEIRAS","2014 Q3",37
"Sul","CS CARIANOS","2014 Q3",235
"Centro","CS CENTRO","2014 Q3",149
"Continente","CS COLONINHA","2014 Q3",36
"Continente","CS COQUEIROS","2014 Q3",42
"Centro","CS CÓRREGO GRANDE","2014 Q3",73
"Sul","CS COSTA DA LAGOA","2014 Q3",18
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q3",612
"Continente","CS ESTREITO","2014 Q3",33
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q3",558
"Norte","CS INGLESES","2014 Q3",1725
"Centro","CS ITACORUBI","2014 Q3",128
"Continente","CS JARDIM ATLÂNTICO","2014 Q3",20
"Centro","CS JOÃO PAULO","2014 Q3",36
"Norte","CS JURERE","2014 Q3",244
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q3",173
"Continente","CS MONTE CRISTO","2014 Q3",52
"Centro","CS MONTE SERRAT","2014 Q3",128
"Sul","CS MORRO DAS PEDRAS","2014 Q3",491
"Continente","CS NOVO CONTINENTE","2014 Q3",50
"Centro","CS PANTANAL","2014 Q3",126
"Sul","CS PANTANO DO SUL","2014 Q3",119
"Norte","CS PONTA DAS CANAS","2014 Q3",320
"Centro","CS PRAINHA","2014 Q3",264
"Norte","CS RATONES","2014 Q3",203
"Sul","CS RIBEIRÃO DA ILHA","2014 Q3",118
"Sul","CS RIO TAVARES","2014 Q3",368
"Norte","CS RIO VERMELHO","2014 Q3",950
"Centro","CS SACO DOS LIMÕES","2014 Q3",411
"Norte","CS SACO GRANDE","2014 Q3",235
"Norte","CS SANTINHO","2014 Q3",492
"Norte","CS SANTO ANTONIO LISBOA","2014 Q3",159
"Continente","CS SAPE","2014 Q3",18
"Sul","CS TAPERA","2014 Q3",559
"Centro","CS TRINDADE","2014 Q3",224
"Norte","CS VARGEM GRANDE","2014 Q3",328
"Norte","CS VARGEM PEQUENA","2014 Q3",151
"Continente","CS VILA APARECIDA","2014 Q3",19
"Continente","CS ABRAÃO","2014 Q4",33
"Centro","CS AGRONÔMICA","2014 Q4",194
"Sul","CS ALTO RIBEIRÃO","2014 Q4",341
"Sul","CS ARMAÇÃO","2014 Q4",247
"Continente","CS BALNEÁRIO","2014 Q4",10
"Norte","CS BARRA DA LAGOA","2014 Q4",146
"Norte","CS CACHOEIRA BOM JESUS","2014 Q4",535
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q4",139
"Sul","CS CAMPECHE","2014 Q4",569
"Norte","CS CANASVIEIRAS","2014 Q4",1572
"Sul","CS CANTO DA LAGOA","2014 Q4",75
"Continente","CS CAPOEIRAS","2014 Q4",29
"Sul","CS CARIANOS","2014 Q4",241
"Centro","CS CENTRO","2014 Q4",142
"Continente","CS COLONINHA","2014 Q4",33
"Continente","CS COQUEIROS","2014 Q4",36
"Centro","CS CÓRREGO GRANDE","2014 Q4",82
"Sul","CS COSTA DA LAGOA","2014 Q4",26
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q4",596
"Continente","CS ESTREITO","2014 Q4",40
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q4",567
"Norte","CS INGLESES","2014 Q4",1652
"Centro","CS ITACORUBI","2014 Q4",123
"Continente","CS JARDIM ATLÂNTICO","2014 Q4",20
"Centro","CS JOÃO PAULO","2014 Q4",33
"Norte","CS JURERE","2014 Q4",211
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q4",201
"Continente","CS MONTE CRISTO","2014 Q4",54
"Centro","CS MONTE SERRAT","2014 Q4",104
"Sul","CS MORRO DAS PEDRAS","2014 Q4",494
"Continente","CS NOVO CONTINENTE","2014 Q4",37
"Centro","CS PANTANAL","2014 Q4",100
"Sul","CS PANTANO DO SUL","2014 Q4",124
"Norte","CS PONTA DAS CANAS","2014 Q4",298
"Centro","CS PRAINHA","2014 Q4",229
"Norte","CS RATONES","2014 Q4",215
"Sul","CS RIBEIRÃO DA ILHA","2014 Q4",114
"Sul","CS RIO TAVARES","2014 Q4",402
"Norte","CS RIO VERMELHO","2014 Q4",931
"Centro","CS SACO DOS LIMÕES","2014 Q4",404
"Norte","CS SACO GRANDE","2014 Q4",279
