"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS BALNEÁRIO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.81
"Norte","CS BARRA DA LAGOA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.81
"Norte","CS CACHOEIRA BOM JESUS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",10.77
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.5
"Sul","CS CAMPECHE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.66
"Norte","CS CANASVIEIRAS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.14
"Sul","CS CANTO DA LAGOA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",6.62
"Continente","CS CAPOEIRAS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",0.54
"Sul","CS CARIANOS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.26
"Centro","CS CENTRO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",5.2
"Continente","CS COLONINHA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.02
"Continente","CS COQUEIROS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.8
"Centro","CS CÓRREGO GRANDE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.39
"Sul","CS COSTA DA LAGOA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",0.94
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.05
"Continente","CS ESTREITO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.64
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.49
"Norte","CS INGLESES","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.5
"Centro","CS ITACORUBI","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.43
"Continente","CS JARDIM ATLÂNTICO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.63
"Centro","CS JOÃO PAULO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.66
"Norte","CS JURERE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.86
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",5.79
"Continente","CS MONTE CRISTO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.37
"Centro","CS MONTE SERRAT","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.57
"Sul","CS MORRO DAS PEDRAS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.19
"Continente","CS NOVO CONTINENTE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.87
"Centro","CS PANTANAL","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.88
"Sul","CS PANTANO DO SUL","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.24
"Norte","CS PONTA DAS CANAS","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.63
"Centro","CS PRAINHA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.11
"Norte","CS RATONES","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.48
"Sul","CS RIBEIRÃO DA ILHA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",6.73
"Sul","CS RIO TAVARES","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",6.9
"Norte","CS RIO VERMELHO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.1
"Centro","CS SACO DOS LIMÕES","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.91
"Norte","CS SACO GRANDE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",6.51
"Norte","CS SANTINHO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",11.03
"Norte","CS SANTO ANTONIO LISBOA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.61
"Continente","CS SAPE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.69
"Sul","CS TAPERA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",1.88
"Centro","CS TRINDADE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",3.92
"Norte","CS VARGEM GRANDE","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",6.25
"Norte","CS VARGEM PEQUENA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",0
"Continente","CS VILA APARECIDA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",0.77
"Continente","CS ABRAÃO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.66
"Centro","CS AGRONÔMICA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.74
"Sul","CS ALTO RIBEIRÃO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4
"Sul","CS ARMAÇÃO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.77
"Continente","CS BALNEÁRIO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.7
"Norte","CS BARRA DA LAGOA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.07
"Norte","CS CACHOEIRA BOM JESUS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.45
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.49
"Sul","CS CAMPECHE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.23
"Norte","CS CANASVIEIRAS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.86
"Sul","CS CANTO DA LAGOA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.11
"Continente","CS CAPOEIRAS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.09
"Sul","CS CARIANOS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.94
"Centro","CS CENTRO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.76
"Continente","CS COLONINHA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.45
"Continente","CS COQUEIROS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.76
"Centro","CS CÓRREGO GRANDE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",0.78
"Sul","CS COSTA DA LAGOA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",6.69
"Continente","CS ESTREITO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.68
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",6.11
"Norte","CS INGLESES","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.56
"Centro","CS ITACORUBI","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.43
"Continente","CS JARDIM ATLÂNTICO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.72
"Centro","CS JOÃO PAULO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.67
"Norte","CS JURERE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.67
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.16
"Continente","CS MONTE CRISTO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.8
"Centro","CS MONTE SERRAT","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.55
"Sul","CS MORRO DAS PEDRAS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.56
"Continente","CS NOVO CONTINENTE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.4
"Centro","CS PANTANAL","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",7.05
"Sul","CS PANTANO DO SUL","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.05
"Norte","CS PONTA DAS CANAS","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.56
"Centro","CS PRAINHA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.16
"Norte","CS RATONES","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.06
"Sul","CS RIBEIRÃO DA ILHA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",8.11
"Sul","CS RIO TAVARES","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",0.32
"Norte","CS RIO VERMELHO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",4.33
"Centro","CS SACO DOS LIMÕES","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",3.31
"Norte","CS SACO GRANDE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",5.06
"Norte","CS SANTINHO","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",9.76
"Norte","CS SANTO ANTONIO LISBOA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.14
"Continente","CS SAPE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.83
"Sul","CS TAPERA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",0.89
"Centro","CS TRINDADE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",6.13
"Norte","CS VARGEM GRANDE","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",2.33
"Norte","CS VARGEM PEQUENA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",1.56
"Continente","CS VILA APARECIDA","2014 Q2","PORCENT_ENCAMINHAMENTOS_ODO",0.98
"Continente","CS ABRAÃO","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.79
"Centro","CS AGRONÔMICA","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",5.49
"Sul","CS ALTO RIBEIRÃO","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.35
"Sul","CS ARMAÇÃO","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",2.7
"Continente","CS BALNEÁRIO","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",5.91
"Norte","CS BARRA DA LAGOA","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",2.87
"Norte","CS CACHOEIRA BOM JESUS","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.86
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.03
"Sul","CS CAMPECHE","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",1.52
"Norte","CS CANASVIEIRAS","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",2.27
"Sul","CS CANTO DA LAGOA","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",3.09
"Continente","CS CAPOEIRAS","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",2.46
"Sul","CS CARIANOS","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",1.14
"Centro","CS CENTRO","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",5.21
"Continente","CS COLONINHA","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",3.14
"Continente","CS COQUEIROS","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",4.5
"Centro","CS CÓRREGO GRANDE","2014 Q3","PORCENT_ENCAMINHAMENTOS_ODO",1.2
