"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Sul","CS CANTO DA LAGOA","2014 Q2",32
"Continente","CS CAPOEIRAS","2014 Q2",46
"Sul","CS CARIANOS","2014 Q2",135
"Centro","CS CENTRO","2014 Q2",62
"Continente","CS COLONINHA","2014 Q2",142
"Continente","CS COQUEIROS","2014 Q2",125
"Centro","CS CÓRREGO GRANDE","2014 Q2",85
"Sul","CS COSTA DA LAGOA","2014 Q2",5
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q2",68
"Continente","CS ESTREITO","2014 Q2",101
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q2",12
"Norte","CS INGLESES","2014 Q2",116
"Centro","CS ITACORUBI","2014 Q2",112
"Continente","CS JARDIM ATLÂNTICO","2014 Q2",32
"Centro","CS JOÃO PAULO","2014 Q2",66
"Norte","CS JURERE","2014 Q2",95
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q2",115
"Continente","CS MONTE CRISTO","2014 Q2",235
"Centro","CS MONTE SERRAT","2014 Q2",54
"Sul","CS MORRO DAS PEDRAS","2014 Q2",81
"Continente","CS NOVO CONTINENTE","2014 Q2",86
"Centro","CS PANTANAL","2014 Q2",61
"Sul","CS PANTANO DO SUL","2014 Q2",25
"Norte","CS PONTA DAS CANAS","2014 Q2",22
"Centro","CS PRAINHA","2014 Q2",81
"Norte","CS RATONES","2014 Q2",48
"Sul","CS RIBEIRÃO DA ILHA","2014 Q2",15
"Sul","CS RIO TAVARES","2014 Q2",61
"Norte","CS RIO VERMELHO","2014 Q2",159
"Centro","CS SACO DOS LIMÕES","2014 Q2",16
"Norte","CS SACO GRANDE","2014 Q2",230
"Norte","CS SANTINHO","2014 Q2",62
"Norte","CS SANTO ANTONIO LISBOA","2014 Q2",105
"Continente","CS SAPE","2014 Q2",36
"Sul","CS TAPERA","2014 Q2",90
"Centro","CS TRINDADE","2014 Q2",156
"Norte","CS VARGEM GRANDE","2014 Q2",11
"Norte","CS VARGEM PEQUENA","2014 Q2",6
"Continente","CS VILA APARECIDA","2014 Q2",7
"Continente","CS ABRAÃO","2014 Q3",87
"Centro","CS AGRONÔMICA","2014 Q3",197
"Sul","CS ALTO RIBEIRÃO","2014 Q3",11
"Sul","CS ARMAÇÃO","2014 Q3",49
"Continente","CS BALNEÁRIO","2014 Q3",78
"Norte","CS BARRA DA LAGOA","2014 Q3",90
"Norte","CS CACHOEIRA BOM JESUS","2014 Q3",72
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q3",14
"Sul","CS CAMPECHE","2014 Q3",86
"Norte","CS CANASVIEIRAS","2014 Q3",137
"Sul","CS CANTO DA LAGOA","2014 Q3",34
"Continente","CS CAPOEIRAS","2014 Q3",79
"Sul","CS CARIANOS","2014 Q3",83
"Centro","CS CENTRO","2014 Q3",68
"Continente","CS COLONINHA","2014 Q3",142
"Continente","CS COQUEIROS","2014 Q3",167
"Centro","CS CÓRREGO GRANDE","2014 Q3",67
"Sul","CS COSTA DA LAGOA","2014 Q3",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q3",88
"Continente","CS ESTREITO","2014 Q3",107
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q3",17
"Norte","CS INGLESES","2014 Q3",306
"Centro","CS ITACORUBI","2014 Q3",161
"Continente","CS JARDIM ATLÂNTICO","2014 Q3",11
"Centro","CS JOÃO PAULO","2014 Q3",72
"Norte","CS JURERE","2014 Q3",101
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q3",155
"Continente","CS MONTE CRISTO","2014 Q3",290
"Centro","CS MONTE SERRAT","2014 Q3",70
"Sul","CS MORRO DAS PEDRAS","2014 Q3",82
"Continente","CS NOVO CONTINENTE","2014 Q3",104
"Centro","CS PANTANAL","2014 Q3",125
"Sul","CS PANTANO DO SUL","2014 Q3",27
"Norte","CS PONTA DAS CANAS","2014 Q3",16
"Centro","CS PRAINHA","2014 Q3",137
"Norte","CS RATONES","2014 Q3",16
"Sul","CS RIBEIRÃO DA ILHA","2014 Q3",10
"Sul","CS RIO TAVARES","2014 Q3",45
"Norte","CS RIO VERMELHO","2014 Q3",218
"Centro","CS SACO DOS LIMÕES","2014 Q3",17
"Norte","CS SACO GRANDE","2014 Q3",346
"Norte","CS SANTINHO","2014 Q3",77
"Norte","CS SANTO ANTONIO LISBOA","2014 Q3",122
"Continente","CS SAPE","2014 Q3",39
"Sul","CS TAPERA","2014 Q3",80
"Centro","CS TRINDADE","2014 Q3",279
"Norte","CS VARGEM GRANDE","2014 Q3",12
"Norte","CS VARGEM PEQUENA","2014 Q3",25
"Continente","CS VILA APARECIDA","2014 Q3",6
"Continente","CS ABRAÃO","2014 Q4",54
"Centro","CS AGRONÔMICA","2014 Q4",187
"Sul","CS ALTO RIBEIRÃO","2014 Q4",1
"Sul","CS ARMAÇÃO","2014 Q4",47
"Continente","CS BALNEÁRIO","2014 Q4",84
"Norte","CS BARRA DA LAGOA","2014 Q4",81
"Norte","CS CACHOEIRA BOM JESUS","2014 Q4",15
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q4",5
"Sul","CS CAMPECHE","2014 Q4",78
"Norte","CS CANASVIEIRAS","2014 Q4",134
"Sul","CS CANTO DA LAGOA","2014 Q4",23
"Continente","CS CAPOEIRAS","2014 Q4",71
"Sul","CS CARIANOS","2014 Q4",146
"Centro","CS CENTRO","2014 Q4",59
"Continente","CS COLONINHA","2014 Q4",138
"Continente","CS COQUEIROS","2014 Q4",115
"Centro","CS CÓRREGO GRANDE","2014 Q4",13
"Sul","CS COSTA DA LAGOA","2014 Q4",8
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q4",79
"Continente","CS ESTREITO","2014 Q4",73
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q4",21
"Norte","CS INGLESES","2014 Q4",171
"Centro","CS ITACORUBI","2014 Q4",115
"Continente","CS JARDIM ATLÂNTICO","2014 Q4",22
"Centro","CS JOÃO PAULO","2014 Q4",54
"Norte","CS JURERE","2014 Q4",129
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q4",66
"Continente","CS MONTE CRISTO","2014 Q4",358
"Centro","CS MONTE SERRAT","2014 Q4",77
"Sul","CS MORRO DAS PEDRAS","2014 Q4",84
"Continente","CS NOVO CONTINENTE","2014 Q4",76
"Centro","CS PANTANAL","2014 Q4",64
"Sul","CS PANTANO DO SUL","2014 Q4",26
"Norte","CS PONTA DAS CANAS","2014 Q4",93
"Centro","CS PRAINHA","2014 Q4",63
"Norte","CS RATONES","2014 Q4",22
"Sul","CS RIBEIRÃO DA ILHA","2014 Q4",15
"Sul","CS RIO TAVARES","2014 Q4",34
"Norte","CS RIO VERMELHO","2014 Q4",175
"Centro","CS SACO DOS LIMÕES","2014 Q4",21
"Norte","CS SACO GRANDE","2014 Q4",132
"Norte","CS SANTINHO","2014 Q4",96
"Norte","CS SANTO ANTONIO LISBOA","2014 Q4",83
"Continente","CS SAPE","2014 Q4",36
"Sul","CS TAPERA","2014 Q4",93
"Centro","CS TRINDADE","2014 Q4",179
