"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Centro","CS MONTE SERRAT",120,"2017 Q3",8
"Centro","CS MONTE SERRAT",121,"2017 Q3",10
"Centro","CS MONTE SERRAT",122,"2017 Q3",12
"Centro","CS PRAINHA",130,"2017 Q3",29
"Centro","CS PRAINHA",131,"2017 Q3",33
"Centro","CS PRAINHA",132,"2017 Q3",55
"Centro","CS PANTANAL",160,"2017 Q3",67
"Centro","CS PANTANAL",161,"2017 Q3",53
"Centro","CS CÓRREGO GRANDE",170,"2017 Q3",52
"Centro","CS CÓRREGO GRANDE",171,"2017 Q3",33
"Centro","CS CÓRREGO GRANDE",172,"2017 Q3",14
"Centro","CS ITACORUBI",190,"2017 Q3",50
"Centro","CS ITACORUBI",191,"2017 Q3",43
"Centro","CS ITACORUBI",192,"2017 Q3",44
"Centro","CS ITACORUBI",193,"2017 Q3",29
"Continente","CS BALNEÁRIO",20,"2017 Q3",48
"Sul","CS CAIEIRA BARRA DO SUL",200,"2017 Q3",8
"Continente","CS BALNEÁRIO",21,"2017 Q3",110
"Sul","CS ALTO RIBEIRÃO",210,"2017 Q3",65
"Sul","CS RIBEIRÃO DA ILHA",220,"2017 Q3",52
"Sul","CS PANTANO DO SUL",230,"2017 Q3",22
"Sul","CS ARMAÇÃO",240,"2017 Q3",35
"Sul","CS ARMAÇÃO",241,"2017 Q3",24
"Sul","CS ARMAÇÃO",242,"2017 Q3",12
"Sul","CS MORRO DAS PEDRAS",250,"2017 Q3",44
"Sul","CS MORRO DAS PEDRAS",251,"2017 Q3",65
"Sul","CS TAPERA",260,"2017 Q3",21
"Sul","CS TAPERA",261,"2017 Q3",21
"Sul","CS TAPERA",262,"2017 Q3",32
"Sul","CS TAPERA",263,"2017 Q3",24
"Sul","CS CARIANOS",270,"2017 Q3",66
"Sul","CS CARIANOS",271,"2017 Q3",122
"Sul","CS CARIANOS",272,"2017 Q3",5
"Sul","CS CAMPECHE",280,"2017 Q3",48
"Sul","CS CAMPECHE",281,"2017 Q3",24
"Sul","CS RIO TAVARES",290,"2017 Q3",30
"Sul","CS RIO TAVARES",291,"2017 Q3",12
"Sul","CS RIO TAVARES",292,"2017 Q3",9
"Sul","CS RIO TAVARES",293,"2017 Q3",3
"Continente","CS SAPE",30,"2017 Q3",27
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2017 Q3",45
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2017 Q3",41
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2017 Q3",37
"Continente","CS SAPE",31,"2017 Q3",27
"Centro","CS SACO DOS LIMÕES",310,"2017 Q3",43
"Centro","CS SACO DOS LIMÕES",311,"2017 Q3",34
"Centro","CS SACO DOS LIMÕES",312,"2017 Q3",68
"Centro","CS SACO DOS LIMÕES",313,"2017 Q3",9
"Centro","CS SACO DOS LIMÕES",314,"2017 Q3",4
"Centro","CS JOÃO PAULO",320,"2017 Q3",52
"Centro","CS JOÃO PAULO",321,"2017 Q3",19
"Norte","CS SACO GRANDE",330,"2017 Q3",54
"Norte","CS SACO GRANDE",331,"2017 Q3",94
"Norte","CS SACO GRANDE",332,"2017 Q3",73
"Norte","CS SACO GRANDE",333,"2017 Q3",107
"Norte","CS SACO GRANDE",334,"2017 Q3",36
"Norte","CS SACO GRANDE",335,"2017 Q3",106
"Norte","CS VARGEM PEQUENA",340,"2017 Q3",82
"Norte","CS RATONES",350,"2017 Q3",32
"Norte","CS RATONES",351,"2017 Q3",18
"Norte","CS SANTO ANTONIO LISBOA",360,"2017 Q3",81
"Norte","CS SANTO ANTONIO LISBOA",361,"2017 Q3",20
"Norte","CS PONTA DAS CANAS",370,"2017 Q3",59
"Norte","CS PONTA DAS CANAS",371,"2017 Q3",34
"Norte","CS CANASVIEIRAS",380,"2017 Q3",43
"Norte","CS CANASVIEIRAS",381,"2017 Q3",51
"Norte","CS CANASVIEIRAS",382,"2017 Q3",35
"Norte","CS CANASVIEIRAS",383,"2017 Q3",28
"Norte","CS CANASVIEIRAS",384,"2017 Q3",42
"Norte","CS JURERE",390,"2017 Q3",92
"Continente","CS MONTE CRISTO",40,"2017 Q3",21
"Norte","CS CACHOEIRA BOM JESUS",400,"2017 Q3",50
"Norte","CS CACHOEIRA BOM JESUS",401,"2017 Q3",57
"Continente","CS MONTE CRISTO",41,"2017 Q3",25
"Norte","CS VARGEM GRANDE",410,"2017 Q3",7
"Continente","CS MONTE CRISTO",42,"2017 Q3",14
"Norte","CS RIO VERMELHO",420,"2017 Q3",69
"Norte","CS RIO VERMELHO",421,"2017 Q3",56
"Norte","CS RIO VERMELHO",422,"2017 Q3",56
"Norte","CS RIO VERMELHO",423,"2017 Q3",66
"Norte","CS RIO VERMELHO",424,"2017 Q3",33
"Continente","CS MONTE CRISTO",43,"2017 Q3",15
"Norte","CS INGLESES",431,"2017 Q3",91
"Norte","CS INGLESES",432,"2017 Q3",50
"Norte","CS INGLESES",433,"2017 Q3",33
"Norte","CS INGLESES",434,"2017 Q3",71
"Norte","CS INGLESES",435,"2017 Q3",63
"Norte","CS INGLESES",436,"2017 Q3",52
"Norte","CS INGLESES",437,"2017 Q3",32
"Norte","CS INGLESES",438,"2017 Q3",20
"Continente","CS MONTE CRISTO",44,"2017 Q3",30
"Norte","CS BARRA DA LAGOA",440,"2017 Q3",32
"Norte","CS BARRA DA LAGOA",441,"2017 Q3",28
"Norte","CS BARRA DA LAGOA",442,"2017 Q3",15
"Continente","CS MONTE CRISTO",45,"2017 Q3",20
"Sul","CS CANTO DA LAGOA",450,"2017 Q3",43
"Continente","CS MONTE CRISTO",46,"2017 Q3",4
"Sul","CS COSTA DA LAGOA",460,"2017 Q3",1
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2017 Q3",24
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2017 Q3",22
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2017 Q3",17
"Continente","CS ABRAÃO",570,"2017 Q3",5
"Continente","CS ABRAÃO",571,"2017 Q3",49
"Continente","CS ABRAÃO",572,"2017 Q3",18
"Continente","CS CAPOEIRAS",60,"2017 Q3",43
"Continente","CS COQUEIROS",600,"2017 Q3",9
"Continente","CS COQUEIROS",601,"2017 Q3",57
"Continente","CS COQUEIROS",602,"2017 Q3",54
"Continente","CS CAPOEIRAS",61,"2017 Q3",34
"Continente","CS CAPOEIRAS",62,"2017 Q3",26
"Centro","CS AGRONÔMICA",690,"2017 Q3",59
"Centro","CS AGRONÔMICA",691,"2017 Q3",90
"Centro","CS AGRONÔMICA",692,"2017 Q3",58
"Centro","CS AGRONÔMICA",693,"2017 Q3",46
"Continente","CS COLONINHA",70,"2017 Q3",90
"Continente","CS COLONINHA",71,"2017 Q3",93
"Continente","CS COLONINHA",72,"2017 Q3",94
"Sul","CS FAZENDA DO RIO TAVARES",780,"2017 Q3",51
"Sul","CS FAZENDA DO RIO TAVARES",781,"2017 Q3",65
"Continente","CS ESTREITO",80,"2017 Q3",52
"Continente","CS ESTREITO",81,"2017 Q3",11
"Continente","CS ESTREITO",82,"2017 Q3",45
"Continente","CS ESTREITO",83,"2017 Q3",60
"Centro","CS TRINDADE",850,"2017 Q3",37
"Centro","CS TRINDADE",851,"2017 Q3",48
"Centro","CS TRINDADE",852,"2017 Q3",40
"Centro","CS TRINDADE",853,"2017 Q3",40
"Centro","CS TRINDADE",854,"2017 Q3",23
"Continente","CS VILA APARECIDA",90,"2017 Q3",33
"Continente","CS VILA APARECIDA",91,"2017 Q3",19
"Centro","CS CENTRO",950,"2017 Q3",50
"Centro","CS CENTRO",951,"2017 Q3",16
"Centro","CS CENTRO",952,"2017 Q3",38
"Norte","CS SANTINHO",980,"2017 Q3",69
"Norte","CS SANTINHO",981,"2017 Q3",72
"Continente","CS JARDIM ATLÂNTICO",10,"2017 Q4",64
"Continente","CS NOVO CONTINENTE",100,"2017 Q4",23
"Continente","CS NOVO CONTINENTE",101,"2017 Q4",22
"Continente","CS NOVO CONTINENTE",102,"2017 Q4",85
"Continente","CS NOVO CONTINENTE",103,"2017 Q4",9
"Continente","CS JARDIM ATLÂNTICO",11,"2017 Q4",50
"Centro","CS MONTE SERRAT",120,"2017 Q4",10
"Centro","CS MONTE SERRAT",121,"2017 Q4",6
"Centro","CS MONTE SERRAT",122,"2017 Q4",8
"Centro","CS PRAINHA",130,"2017 Q4",35
"Centro","CS PRAINHA",131,"2017 Q4",24
"Centro","CS PRAINHA",132,"2017 Q4",41
"Centro","CS PANTANAL",160,"2017 Q4",38
"Centro","CS PANTANAL",161,"2017 Q4",43
"Centro","CS CÓRREGO GRANDE",170,"2017 Q4",50
"Centro","CS CÓRREGO GRANDE",171,"2017 Q4",41
"Centro","CS CÓRREGO GRANDE",172,"2017 Q4",23
"Centro","CS ITACORUBI",190,"2017 Q4",32
"Centro","CS ITACORUBI",191,"2017 Q4",40
"Centro","CS ITACORUBI",192,"2017 Q4",32
"Centro","CS ITACORUBI",193,"2017 Q4",17
"Continente","CS BALNEÁRIO",20,"2017 Q4",84
"Sul","CS CAIEIRA BARRA DO SUL",200,"2017 Q4",6
"Continente","CS BALNEÁRIO",21,"2017 Q4",54
"Sul","CS ALTO RIBEIRÃO",210,"2017 Q4",44
