"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2015 Q1","PERCENTUAL_TODOS_TRI",49.2307692307692
"Continente","2015 Q1","PERCENTUAL_TODOS_TRI",53.3333333333333
"Norte","2015 Q1","PERCENTUAL_TODOS_TRI",55.0387596899225
"Sul","2015 Q1","PERCENTUAL_TODOS_TRI",62.5531914893617
"Centro","2015 Q2","PERCENTUAL_TODOS_TRI",56.5656565656566
"Continente","2015 Q2","PERCENTUAL_TODOS_TRI",56.989247311828
"Norte","2015 Q2","PERCENTUAL_TODOS_TRI",58.311345646438
"Sul","2015 Q2","PERCENTUAL_TODOS_TRI",61.1814345991561
"Centro","2015 Q3","PERCENTUAL_TODOS_TRI",55.9322033898305
"Continente","2015 Q3","PERCENTUAL_TODOS_TRI",50.8196721311475
"Norte","2015 Q3","PERCENTUAL_TODOS_TRI",59.2405063291139
"Sul","2015 Q3","PERCENTUAL_TODOS_TRI",61.5789473684211
"Centro","2015 Q4","PERCENTUAL_TODOS_TRI",47.8468899521531
"Continente","2015 Q4","PERCENTUAL_TODOS_TRI",48.9473684210526
"Norte","2015 Q4","PERCENTUAL_TODOS_TRI",53.1806615776081
"Sul","2015 Q4","PERCENTUAL_TODOS_TRI",57.3529411764706
"Centro","2016 Q1","PERCENTUAL_TODOS_TRI",57.5609756097561
"Continente","2016 Q1","PERCENTUAL_TODOS_TRI",60.5405405405405
"Norte","2016 Q1","PERCENTUAL_TODOS_TRI",58.8516746411483
"Sul","2016 Q1","PERCENTUAL_TODOS_TRI",63.3187772925764
"Centro","2016 Q2","PERCENTUAL_TODOS_TRI",54.1322314049587
"Continente","2016 Q2","PERCENTUAL_TODOS_TRI",61
"Norte","2016 Q2","PERCENTUAL_TODOS_TRI",63.5714285714286
"Sul","2016 Q2","PERCENTUAL_TODOS_TRI",58.8235294117647
"Centro","2016 Q3","PERCENTUAL_TODOS_TRI",58.5585585585586
"Continente","2016 Q3","PERCENTUAL_TODOS_TRI",52.112676056338
"Norte","2016 Q3","PERCENTUAL_TODOS_TRI",58.6433260393873
"Sul","2016 Q3","PERCENTUAL_TODOS_TRI",64.1129032258064
"Centro","2016 Q4","PERCENTUAL_TODOS_TRI",55.0925925925926
"Continente","2016 Q4","PERCENTUAL_TODOS_TRI",56.0693641618497
"Norte","2016 Q4","PERCENTUAL_TODOS_TRI",57.7127659574468
"Sul","2016 Q4","PERCENTUAL_TODOS_TRI",63.3802816901408
"Centro","2017 Q1","PERCENTUAL_TODOS_TRI",50.8064516129032
"Continente","2017 Q1","PERCENTUAL_TODOS_TRI",57.948717948718
"Norte","2017 Q1","PERCENTUAL_TODOS_TRI",57.3626373626374
"Sul","2017 Q1","PERCENTUAL_TODOS_TRI",57.3333333333333
"Centro","2017 Q2","PERCENTUAL_TODOS_TRI",53.1496062992126
"Continente","2017 Q2","PERCENTUAL_TODOS_TRI",61.214953271028
"Norte","2017 Q2","PERCENTUAL_TODOS_TRI",63.4615384615385
"Sul","2017 Q2","PERCENTUAL_TODOS_TRI",63.1578947368421
"Centro","2017 Q3","PERCENTUAL_TODOS_TRI",52.1929824561403
"Continente","2017 Q3","PERCENTUAL_TODOS_TRI",40.3846153846154
"Norte","2017 Q3","PERCENTUAL_TODOS_TRI",55.1068883610451
"Sul","2017 Q3","PERCENTUAL_TODOS_TRI",52.4663677130045
"Centro","2017 Q4","PERCENTUAL_TODOS_TRI",57.6036866359447
"Continente","2017 Q4","PERCENTUAL_TODOS_TRI",58.695652173913
"Norte","2017 Q4","PERCENTUAL_TODOS_TRI",60.0461893764434
"Sul","2017 Q4","PERCENTUAL_TODOS_TRI",58.252427184466
"Centro","2018 Q1","PERCENTUAL_TODOS_TRI",60.6060606060606
"Continente","2018 Q1","PERCENTUAL_TODOS_TRI",56.6666666666667
"Norte","2018 Q1","PERCENTUAL_TODOS_TRI",59.1397849462366
"Sul","2018 Q1","PERCENTUAL_TODOS_TRI",61.7511520737327
