"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Sul","CS CAMPECHE","2014 Q2","PERCENTUAL_TODOS_TRI",68.75
"Norte","CS CANASVIEIRAS","2014 Q2","PERCENTUAL_TODOS_TRI",57.6923076923077
"Sul","CS CANTO DA LAGOA","2014 Q2","PERCENTUAL_TODOS_TRI",28.5714285714286
"Continente","CS CAPOEIRAS","2014 Q2","PERCENTUAL_TODOS_TRI",55
"Sul","CS CARIANOS","2014 Q2","PERCENTUAL_TODOS_TRI",40
"Centro","CS CENTRO","2014 Q2","PERCENTUAL_TODOS_TRI",70.5882352941177
"Continente","CS COLONINHA","2014 Q2","PERCENTUAL_TODOS_TRI",38.4615384615385
"Continente","CS COQUEIROS","2014 Q2","PERCENTUAL_TODOS_TRI",33.3333333333333
"Centro","CS CÓRREGO GRANDE","2014 Q2","PERCENTUAL_TODOS_TRI",37.5
"Sul","CS COSTA DA LAGOA","2014 Q2","PERCENTUAL_TODOS_TRI",100
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q2","PERCENTUAL_TODOS_TRI",71.875
"Continente","CS ESTREITO","2014 Q2","PERCENTUAL_TODOS_TRI",70
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q2","PERCENTUAL_TODOS_TRI",45.4545454545455
"Norte","CS INGLESES","2014 Q2","PERCENTUAL_TODOS_TRI",53.75
"Centro","CS ITACORUBI","2014 Q2","PERCENTUAL_TODOS_TRI",82.6086956521739
"Continente","CS JARDIM ATLÂNTICO","2014 Q2","PERCENTUAL_TODOS_TRI",16.6666666666667
"Centro","CS JOÃO PAULO","2014 Q2","PERCENTUAL_TODOS_TRI",44.4444444444444
"Norte","CS JURERE","2014 Q2","PERCENTUAL_TODOS_TRI",50
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q2","PERCENTUAL_TODOS_TRI",44.4444444444444
"Continente","CS MONTE CRISTO","2014 Q2","PERCENTUAL_TODOS_TRI",47.945205479452
"Centro","CS MONTE SERRAT","2014 Q2","PERCENTUAL_TODOS_TRI",60
"Sul","CS MORRO DAS PEDRAS","2014 Q2","PERCENTUAL_TODOS_TRI",60
"Continente","CS NOVO CONTINENTE","2014 Q2","PERCENTUAL_TODOS_TRI",50
"Centro","CS PANTANAL","2014 Q2","PERCENTUAL_TODOS_TRI",30
"Sul","CS PANTANO DO SUL","2014 Q2","PERCENTUAL_TODOS_TRI",87.5
"Norte","CS PONTA DAS CANAS","2014 Q2","PERCENTUAL_TODOS_TRI",40
"Centro","CS PRAINHA","2014 Q2","PERCENTUAL_TODOS_TRI",63.3333333333333
"Norte","CS RATONES","2014 Q2","PERCENTUAL_TODOS_TRI",57.1428571428571
"Sul","CS RIBEIRÃO DA ILHA","2014 Q2","PERCENTUAL_TODOS_TRI",100
"Sul","CS RIO TAVARES","2014 Q2","PERCENTUAL_TODOS_TRI",50
"Norte","CS RIO VERMELHO","2014 Q2","PERCENTUAL_TODOS_TRI",51.6666666666667
"Centro","CS SACO DOS LIMÕES","2014 Q2","PERCENTUAL_TODOS_TRI",50
"Norte","CS SACO GRANDE","2014 Q2","PERCENTUAL_TODOS_TRI",45.4545454545455
"Norte","CS SANTINHO","2014 Q2","PERCENTUAL_TODOS_TRI",52.6315789473684
"Norte","CS SANTO ANTONIO LISBOA","2014 Q2","PERCENTUAL_TODOS_TRI",78.5714285714286
"Continente","CS SAPE","2014 Q2","PERCENTUAL_TODOS_TRI",43.75
"Sul","CS TAPERA","2014 Q2","PERCENTUAL_TODOS_TRI",56.7567567567568
"Centro","CS TRINDADE","2014 Q2","PERCENTUAL_TODOS_TRI",61.1111111111111
"Norte","CS VARGEM GRANDE","2014 Q2","PERCENTUAL_TODOS_TRI",80
"Norte","CS VARGEM PEQUENA","2014 Q2","PERCENTUAL_TODOS_TRI",50
"Continente","CS VILA APARECIDA","2014 Q2","PERCENTUAL_TODOS_TRI",25
"Continente","CS ABRAÃO","2014 Q3","PERCENTUAL_TODOS_TRI",100
"Centro","CS AGRONÔMICA","2014 Q3","PERCENTUAL_TODOS_TRI",46.5116279069767
"Sul","CS ALTO RIBEIRÃO","2014 Q3","PERCENTUAL_TODOS_TRI",68.4210526315789
"Sul","CS ARMAÇÃO","2014 Q3","PERCENTUAL_TODOS_TRI",80
"Continente","CS BALNEÁRIO","2014 Q3","PERCENTUAL_TODOS_TRI",50
"Norte","CS BARRA DA LAGOA","2014 Q3","PERCENTUAL_TODOS_TRI",35.7142857142857
"Norte","CS CACHOEIRA BOM JESUS","2014 Q3","PERCENTUAL_TODOS_TRI",46.1538461538462
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q3","PERCENTUAL_TODOS_TRI",50
"Sul","CS CAMPECHE","2014 Q3","PERCENTUAL_TODOS_TRI",66.6666666666667
"Norte","CS CANASVIEIRAS","2014 Q3","PERCENTUAL_TODOS_TRI",53.968253968254
"Sul","CS CANTO DA LAGOA","2014 Q3","PERCENTUAL_TODOS_TRI",66.6666666666667
"Continente","CS CAPOEIRAS","2014 Q3","PERCENTUAL_TODOS_TRI",40
