"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Continente","2015 Q3","PERC_TRATAMENTO",11.1111111111111
"Norte","2015 Q3","PERC_TRATAMENTO",9.09090909090909
"Sul","2015 Q3","PERC_TRATAMENTO",9.75609756097561
"Centro","2015 Q4","PERC_TRATAMENTO",20
"Continente","2015 Q4","PERC_TRATAMENTO",8.88888888888889
"Norte","2015 Q4","PERC_TRATAMENTO",16.3636363636364
"Sul","2015 Q4","PERC_TRATAMENTO",12
"Centro","2016 Q1","PERC_TRATAMENTO",25.3731343283582
"Continente","2016 Q1","PERC_TRATAMENTO",19.2982456140351
"Norte","2016 Q1","PERC_TRATAMENTO",8.47457627118644
"Sul","2016 Q1","PERC_TRATAMENTO",8.33333333333333
"Centro","2016 Q2","PERC_TRATAMENTO",32.2033898305085
"Continente","2016 Q2","PERC_TRATAMENTO",30.6451612903226
"Norte","2016 Q2","PERC_TRATAMENTO",38.0434782608696
"Sul","2016 Q2","PERC_TRATAMENTO",13.3333333333333
"Centro","2016 Q3","PERC_TRATAMENTO",57
"Continente","2016 Q3","PERC_TRATAMENTO",48.2758620689655
"Norte","2016 Q3","PERC_TRATAMENTO",35.2941176470588
"Sul","2016 Q3","PERC_TRATAMENTO",32.3076923076923
"Centro","2016 Q4","PERC_TRATAMENTO",40.4761904761905
"Continente","2016 Q4","PERC_TRATAMENTO",42.8571428571429
"Norte","2016 Q4","PERC_TRATAMENTO",52.4390243902439
"Sul","2016 Q4","PERC_TRATAMENTO",30.7692307692308
"Centro","2017 Q1","PERC_TRATAMENTO",48
"Continente","2017 Q1","PERC_TRATAMENTO",34.8837209302326
"Norte","2017 Q1","PERC_TRATAMENTO",66.6666666666667
"Sul","2017 Q1","PERC_TRATAMENTO",44
"Centro","2017 Q2","PERC_TRATAMENTO",78.7878787878788
"Continente","2017 Q2","PERC_TRATAMENTO",56.7901234567901
"Norte","2017 Q2","PERC_TRATAMENTO",77.1428571428572
"Sul","2017 Q2","PERC_TRATAMENTO",59.5744680851064
"Centro","2017 Q3","PERC_TRATAMENTO",63.3928571428571
"Continente","2017 Q3","PERC_TRATAMENTO",56.4705882352941
"Norte","2017 Q3","PERC_TRATAMENTO",58.0357142857143
"Sul","2017 Q3","PERC_TRATAMENTO",55.7377049180328
"Centro","2017 Q4","PERC_TRATAMENTO",67.6190476190476
"Continente","2017 Q4","PERC_TRATAMENTO",52.0547945205479
"Norte","2017 Q4","PERC_TRATAMENTO",53.2110091743119
"Sul","2017 Q4","PERC_TRATAMENTO",60.4651162790698
"Centro","2018 Q1","PERC_TRATAMENTO",61.6822429906542
"Continente","2018 Q1","PERC_TRATAMENTO",69.0140845070423
"Norte","2018 Q1","PERC_TRATAMENTO",55.8823529411765
"Sul","2018 Q1","PERC_TRATAMENTO",67.4418604651163
