"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Sul","CS COSTA DA LAGOA","2015 Q4",5
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q4",103
"Continente","CS ESTREITO","2015 Q4",229
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q4",74
"Norte","CS INGLESES","2015 Q4",195
"Centro","CS ITACORUBI","2015 Q4",196
"Continente","CS JARDIM ATLÂNTICO","2015 Q4",34
"Centro","CS JOÃO PAULO","2015 Q4",75
"Norte","CS JURERE","2015 Q4",51
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q4",51
"Continente","CS MONTE CRISTO","2015 Q4",146
"Centro","CS MONTE SERRAT","2015 Q4",70
"Sul","CS MORRO DAS PEDRAS","2015 Q4",109
"Continente","CS NOVO CONTINENTE","2015 Q4",66
"Centro","CS PANTANAL","2015 Q4",141
"Sul","CS PANTANO DO SUL","2015 Q4",52
"Norte","CS PONTA DAS CANAS","2015 Q4",51
"Centro","CS PRAINHA","2015 Q4",48
"Norte","CS RATONES","2015 Q4",73
"Sul","CS RIBEIRÃO DA ILHA","2015 Q4",42
"Sul","CS RIO TAVARES","2015 Q4",54
"Norte","CS RIO VERMELHO","2015 Q4",266
"Centro","CS SACO DOS LIMÕES","2015 Q4",168
"Norte","CS SACO GRANDE","2015 Q4",285
"Norte","CS SANTINHO","2015 Q4",115
"Norte","CS SANTO ANTONIO LISBOA","2015 Q4",120
"Continente","CS SAPE","2015 Q4",80
"Sul","CS TAPERA","2015 Q4",122
"Centro","CS TRINDADE","2015 Q4",223
"Norte","CS VARGEM GRANDE","2015 Q4",21
"Norte","CS VARGEM PEQUENA","2015 Q4",53
"Continente","CS VILA APARECIDA","2015 Q4",21
"Continente","CS ABRAÃO","2016 Q1",93
"Centro","CS AGRONÔMICA","2016 Q1",198
"Sul","CS ALTO RIBEIRÃO","2016 Q1",22
"Sul","CS ARMAÇÃO","2016 Q1",92
"Continente","CS BALNEÁRIO","2016 Q1",117
"Norte","CS BARRA DA LAGOA","2016 Q1",94
"Norte","CS CACHOEIRA BOM JESUS","2016 Q1",64
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q1",13
"Sul","CS CAMPECHE","2016 Q1",50
"Norte","CS CANASVIEIRAS","2016 Q1",106
"Sul","CS CANTO DA LAGOA","2016 Q1",2
"Continente","CS CAPOEIRAS","2016 Q1",142
"Sul","CS CARIANOS","2016 Q1",191
"Centro","CS CENTRO","2016 Q1",142
"Continente","CS COLONINHA","2016 Q1",158
"Continente","CS COQUEIROS","2016 Q1",160
"Centro","CS CÓRREGO GRANDE","2016 Q1",92
"Sul","CS COSTA DA LAGOA","2016 Q1",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q1",200
"Continente","CS ESTREITO","2016 Q1",223
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q1",119
"Norte","CS INGLESES","2016 Q1",157
"Centro","CS ITACORUBI","2016 Q1",341
"Continente","CS JARDIM ATLÂNTICO","2016 Q1",104
"Centro","CS JOÃO PAULO","2016 Q1",128
"Norte","CS JURERE","2016 Q1",29
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q1",6
"Continente","CS MONTE CRISTO","2016 Q1",118
"Centro","CS MONTE SERRAT","2016 Q1",76
"Sul","CS MORRO DAS PEDRAS","2016 Q1",161
"Continente","CS NOVO CONTINENTE","2016 Q1",77
"Centro","CS PANTANAL","2016 Q1",85
"Sul","CS PANTANO DO SUL","2016 Q1",98
"Norte","CS PONTA DAS CANAS","2016 Q1",72
"Centro","CS PRAINHA","2016 Q1",156
"Norte","CS RATONES","2016 Q1",95
"Sul","CS RIBEIRÃO DA ILHA","2016 Q1",89
"Sul","CS RIO TAVARES","2016 Q1",53
"Norte","CS RIO VERMELHO","2016 Q1",200
"Centro","CS SACO DOS LIMÕES","2016 Q1",209
"Norte","CS SACO GRANDE","2016 Q1",289
"Norte","CS SANTINHO","2016 Q1",128
"Norte","CS SANTO ANTONIO LISBOA","2016 Q1",146
"Continente","CS SAPE","2016 Q1",77
"Sul","CS TAPERA","2016 Q1",113
"Centro","CS TRINDADE","2016 Q1",238
"Norte","CS VARGEM GRANDE","2016 Q1",20
"Norte","CS VARGEM PEQUENA","2016 Q1",72
"Continente","CS VILA APARECIDA","2016 Q1",47
"Continente","CS ABRAÃO","2016 Q2",30
"Centro","CS AGRONÔMICA","2016 Q2",335
"Sul","CS ALTO RIBEIRÃO","2016 Q2",37
"Sul","CS ARMAÇÃO","2016 Q2",115
"Continente","CS BALNEÁRIO","2016 Q2",195
"Norte","CS BARRA DA LAGOA","2016 Q2",152
"Norte","CS CACHOEIRA BOM JESUS","2016 Q2",111
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q2",14
"Sul","CS CAMPECHE","2016 Q2",90
"Norte","CS CANASVIEIRAS","2016 Q2",239
"Sul","CS CANTO DA LAGOA","2016 Q2",4
"Continente","CS CAPOEIRAS","2016 Q2",171
"Sul","CS CARIANOS","2016 Q2",261
"Centro","CS CENTRO","2016 Q2",104
"Continente","CS COLONINHA","2016 Q2",220
"Continente","CS COQUEIROS","2016 Q2",249
"Centro","CS CÓRREGO GRANDE","2016 Q2",180
"Sul","CS COSTA DA LAGOA","2016 Q2",42
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q2",247
"Continente","CS ESTREITO","2016 Q2",338
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q2",110
"Norte","CS INGLESES","2016 Q2",538
"Centro","CS ITACORUBI","2016 Q2",324
"Continente","CS JARDIM ATLÂNTICO","2016 Q2",138
"Centro","CS JOÃO PAULO","2016 Q2",74
"Norte","CS JURERE","2016 Q2",54
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q2",29
"Continente","CS MONTE CRISTO","2016 Q2",215
"Centro","CS MONTE SERRAT","2016 Q2",95
"Sul","CS MORRO DAS PEDRAS","2016 Q2",182
"Continente","CS NOVO CONTINENTE","2016 Q2",188
"Centro","CS PANTANAL","2016 Q2",60
"Sul","CS PANTANO DO SUL","2016 Q2",64
"Norte","CS PONTA DAS CANAS","2016 Q2",174
"Centro","CS PRAINHA","2016 Q2",135
