"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Norte","CS BARRA DA LAGOA","2016 Q4","PERCENTUAL_GEST_ODONTO",25
"Norte","CS CACHOEIRA BOM JESUS","2016 Q4","PERCENTUAL_GEST_ODONTO",5.55555555555556
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q4","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Sul","CS CAMPECHE","2016 Q4","PERCENTUAL_GEST_ODONTO",25
"Norte","CS CANASVIEIRAS","2016 Q4","PERCENTUAL_GEST_ODONTO",26.8292682926829
"Sul","CS CANTO DA LAGOA","2016 Q4","PERCENTUAL_GEST_ODONTO",100
"Continente","CS CAPOEIRAS","2016 Q4","PERCENTUAL_GEST_ODONTO",50
"Sul","CS CARIANOS","2016 Q4","PERCENTUAL_GEST_ODONTO",60
"Centro","CS CENTRO","2016 Q4","PERCENTUAL_GEST_ODONTO",0
"Continente","CS COLONINHA","2016 Q4","PERCENTUAL_GEST_ODONTO",45.4545454545455
"Continente","CS COQUEIROS","2016 Q4","PERCENTUAL_GEST_ODONTO",16.6666666666667
"Centro","CS CÓRREGO GRANDE","2016 Q4","PERCENTUAL_GEST_ODONTO",37.5
"Sul","CS COSTA DA LAGOA","2016 Q4","PERCENTUAL_GEST_ODONTO",66.6666666666667
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q4","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Continente","CS ESTREITO","2016 Q4","PERCENTUAL_GEST_ODONTO",53.8461538461538
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q4","PERCENTUAL_GEST_ODONTO",31.25
"Norte","CS INGLESES","2016 Q4","PERCENTUAL_GEST_ODONTO",41.1111111111111
"Centro","CS ITACORUBI","2016 Q4","PERCENTUAL_GEST_ODONTO",30.4347826086957
"Continente","CS JARDIM ATLÂNTICO","2016 Q4","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Centro","CS JOÃO PAULO","2016 Q4","PERCENTUAL_GEST_ODONTO",42.8571428571429
"Norte","CS JURERE","2016 Q4","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q4","PERCENTUAL_GEST_ODONTO",9.09090909090909
"Continente","CS MONTE CRISTO","2016 Q4","PERCENTUAL_GEST_ODONTO",11.1111111111111
"Centro","CS MONTE SERRAT","2016 Q4","PERCENTUAL_GEST_ODONTO",22.7272727272727
"Sul","CS MORRO DAS PEDRAS","2016 Q4","PERCENTUAL_GEST_ODONTO",35.2941176470588
"Continente","CS NOVO CONTINENTE","2016 Q4","PERCENTUAL_GEST_ODONTO",27.5862068965517
"Centro","CS PANTANAL","2016 Q4","PERCENTUAL_GEST_ODONTO",30.7692307692308
"Sul","CS PANTANO DO SUL","2016 Q4","PERCENTUAL_GEST_ODONTO",42.8571428571429
"Norte","CS PONTA DAS CANAS","2016 Q4","PERCENTUAL_GEST_ODONTO",16.6666666666667
"Centro","CS PRAINHA","2016 Q4","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Norte","CS RATONES","2016 Q4","PERCENTUAL_GEST_ODONTO",23.0769230769231
"Sul","CS RIBEIRÃO DA ILHA","2016 Q4","PERCENTUAL_GEST_ODONTO",83.3333333333333
"Sul","CS RIO TAVARES","2016 Q4","PERCENTUAL_GEST_ODONTO",35.2941176470588
"Norte","CS RIO VERMELHO","2016 Q4","PERCENTUAL_GEST_ODONTO",14.4927536231884
"Centro","CS SACO DOS LIMÕES","2016 Q4","PERCENTUAL_GEST_ODONTO",20.5882352941176
"Norte","CS SACO GRANDE","2016 Q4","PERCENTUAL_GEST_ODONTO",22.7272727272727
"Norte","CS SANTINHO","2016 Q4","PERCENTUAL_GEST_ODONTO",35.7142857142857
"Norte","CS SANTO ANTONIO LISBOA","2016 Q4","PERCENTUAL_GEST_ODONTO",25
"Continente","CS SAPE","2016 Q4","PERCENTUAL_GEST_ODONTO",60
"Sul","CS TAPERA","2016 Q4","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Centro","CS TRINDADE","2016 Q4","PERCENTUAL_GEST_ODONTO",8.10810810810811
"Norte","CS VARGEM GRANDE","2016 Q4","PERCENTUAL_GEST_ODONTO",44.4444444444444
"Norte","CS VARGEM PEQUENA","2016 Q4","PERCENTUAL_GEST_ODONTO",16.6666666666667
"Continente","CS VILA APARECIDA","2016 Q4","PERCENTUAL_GEST_ODONTO",27.2727272727273
"Continente","CS ABRAÃO","2017 Q1","PERCENTUAL_GEST_ODONTO",0
"Centro","CS AGRONÔMICA","2017 Q1","PERCENTUAL_GEST_ODONTO",32.258064516129
"Sul","CS ALTO RIBEIRÃO","2017 Q1","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Sul","CS ARMAÇÃO","2017 Q1","PERCENTUAL_GEST_ODONTO",50
"Continente","CS BALNEÁRIO","2017 Q1","PERCENTUAL_GEST_ODONTO",50
"Norte","CS BARRA DA LAGOA","2017 Q1","PERCENTUAL_GEST_ODONTO",38.0952380952381
"Norte","CS CACHOEIRA BOM JESUS","2017 Q1","PERCENTUAL_GEST_ODONTO",13.3333333333333
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q1","PERCENTUAL_GEST_ODONTO",0
"Sul","CS CAMPECHE","2017 Q1","PERCENTUAL_GEST_ODONTO",36.3636363636364
"Norte","CS CANASVIEIRAS","2017 Q1","PERCENTUAL_GEST_ODONTO",14.0845070422535
"Sul","CS CANTO DA LAGOA","2017 Q1","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Continente","CS CAPOEIRAS","2017 Q1","PERCENTUAL_GEST_ODONTO",48
"Sul","CS CARIANOS","2017 Q1","PERCENTUAL_GEST_ODONTO",62.5
"Centro","CS CENTRO","2017 Q1","PERCENTUAL_GEST_ODONTO",21.0526315789474
"Continente","CS COLONINHA","2017 Q1","PERCENTUAL_GEST_ODONTO",5.88235294117647
"Continente","CS COQUEIROS","2017 Q1","PERCENTUAL_GEST_ODONTO",53.3333333333333
"Centro","CS CÓRREGO GRANDE","2017 Q1","PERCENTUAL_GEST_ODONTO",25
"Sul","CS COSTA DA LAGOA","2017 Q1","PERCENTUAL_GEST_ODONTO",50
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q1","PERCENTUAL_GEST_ODONTO",21.4285714285714
"Continente","CS ESTREITO","2017 Q1","PERCENTUAL_GEST_ODONTO",50
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q1","PERCENTUAL_GEST_ODONTO",8.33333333333333
"Norte","CS INGLESES","2017 Q1","PERCENTUAL_GEST_ODONTO",50
"Centro","CS ITACORUBI","2017 Q1","PERCENTUAL_GEST_ODONTO",40
"Continente","CS JARDIM ATLÂNTICO","2017 Q1","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Centro","CS JOÃO PAULO","2017 Q1","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Norte","CS JURERE","2017 Q1","PERCENTUAL_GEST_ODONTO",30
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q1","PERCENTUAL_GEST_ODONTO",9.09090909090909
"Continente","CS MONTE CRISTO","2017 Q1","PERCENTUAL_GEST_ODONTO",21.7391304347826
"Centro","CS MONTE SERRAT","2017 Q1","PERCENTUAL_GEST_ODONTO",21.7391304347826
"Sul","CS MORRO DAS PEDRAS","2017 Q1","PERCENTUAL_GEST_ODONTO",14.2857142857143
