"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Centro","2013 Q2","PERCENTUAL_GEST_ODONTO",26.1682242990654
"Continente","2013 Q2","PERCENTUAL_GEST_ODONTO",29.2817679558011
"Norte","2013 Q2","PERCENTUAL_GEST_ODONTO",22.5
"Sul","2013 Q2","PERCENTUAL_GEST_ODONTO",26.8181818181818
"Centro","2013 Q3","PERCENTUAL_GEST_ODONTO",27.7173913043478
"Continente","2013 Q3","PERCENTUAL_GEST_ODONTO",21.195652173913
"Norte","2013 Q3","PERCENTUAL_GEST_ODONTO",26.8518518518519
"Sul","2013 Q3","PERCENTUAL_GEST_ODONTO",25.4807692307692
"Centro","2013 Q4","PERCENTUAL_GEST_ODONTO",15.7068062827225
"Continente","2013 Q4","PERCENTUAL_GEST_ODONTO",33.1491712707182
"Norte","2013 Q4","PERCENTUAL_GEST_ODONTO",21.9354838709677
"Sul","2013 Q4","PERCENTUAL_GEST_ODONTO",16.5853658536585
"Centro","2014 Q1","PERCENTUAL_GEST_ODONTO",25.8215962441315
"Continente","2014 Q1","PERCENTUAL_GEST_ODONTO",27.2727272727273
"Norte","2014 Q1","PERCENTUAL_GEST_ODONTO",24.4186046511628
"Sul","2014 Q1","PERCENTUAL_GEST_ODONTO",17.9723502304147
"Centro","2014 Q2","PERCENTUAL_GEST_ODONTO",20.1716738197425
"Continente","2014 Q2","PERCENTUAL_GEST_ODONTO",21.6494845360825
"Norte","2014 Q2","PERCENTUAL_GEST_ODONTO",20.8
"Sul","2014 Q2","PERCENTUAL_GEST_ODONTO",26.3888888888889
"Centro","2014 Q3","PERCENTUAL_GEST_ODONTO",18.2291666666667
"Continente","2014 Q3","PERCENTUAL_GEST_ODONTO",33.1081081081081
"Norte","2014 Q3","PERCENTUAL_GEST_ODONTO",22.3719676549865
"Sul","2014 Q3","PERCENTUAL_GEST_ODONTO",20.353982300885
"Centro","2014 Q4","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Continente","2014 Q4","PERCENTUAL_GEST_ODONTO",29.8850574712644
"Norte","2014 Q4","PERCENTUAL_GEST_ODONTO",23.030303030303
"Sul","2014 Q4","PERCENTUAL_GEST_ODONTO",20.5263157894737
"Centro","2015 Q1","PERCENTUAL_GEST_ODONTO",18.974358974359
"Continente","2015 Q1","PERCENTUAL_GEST_ODONTO",27.6923076923077
"Norte","2015 Q1","PERCENTUAL_GEST_ODONTO",28.4237726098191
"Sul","2015 Q1","PERCENTUAL_GEST_ODONTO",19.1489361702128
"Centro","2015 Q2","PERCENTUAL_GEST_ODONTO",21.7171717171717
"Continente","2015 Q2","PERCENTUAL_GEST_ODONTO",30.6451612903226
"Norte","2015 Q2","PERCENTUAL_GEST_ODONTO",21.3720316622691
"Sul","2015 Q2","PERCENTUAL_GEST_ODONTO",18.9873417721519
"Centro","2015 Q3","PERCENTUAL_GEST_ODONTO",19.9152542372881
"Continente","2015 Q3","PERCENTUAL_GEST_ODONTO",28.9617486338798
"Norte","2015 Q3","PERCENTUAL_GEST_ODONTO",21.5189873417722
"Sul","2015 Q3","PERCENTUAL_GEST_ODONTO",18.9473684210526
"Centro","2015 Q4","PERCENTUAL_GEST_ODONTO",14.8325358851675
"Continente","2015 Q4","PERCENTUAL_GEST_ODONTO",33.1578947368421
"Norte","2015 Q4","PERCENTUAL_GEST_ODONTO",24.6819338422392
"Sul","2015 Q4","PERCENTUAL_GEST_ODONTO",16.1764705882353
"Centro","2016 Q1","PERCENTUAL_GEST_ODONTO",27.3170731707317
"Continente","2016 Q1","PERCENTUAL_GEST_ODONTO",33.5135135135135
"Norte","2016 Q1","PERCENTUAL_GEST_ODONTO",21.0526315789474
"Sul","2016 Q1","PERCENTUAL_GEST_ODONTO",27.0742358078603
"Centro","2016 Q2","PERCENTUAL_GEST_ODONTO",25.2066115702479
"Continente","2016 Q2","PERCENTUAL_GEST_ODONTO",35
"Norte","2016 Q2","PERCENTUAL_GEST_ODONTO",24.7619047619048
"Sul","2016 Q2","PERCENTUAL_GEST_ODONTO",23.109243697479
"Centro","2016 Q3","PERCENTUAL_GEST_ODONTO",28.3783783783784
"Continente","2016 Q3","PERCENTUAL_GEST_ODONTO",30.9859154929577
"Norte","2016 Q3","PERCENTUAL_GEST_ODONTO",22.9759299781182
"Sul","2016 Q3","PERCENTUAL_GEST_ODONTO",25.8064516129032
"Centro","2016 Q4","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Continente","2016 Q4","PERCENTUAL_GEST_ODONTO",30.635838150289
"Norte","2016 Q4","PERCENTUAL_GEST_ODONTO",27.1276595744681
"Sul","2016 Q4","PERCENTUAL_GEST_ODONTO",33.8028169014084
"Centro","2017 Q1","PERCENTUAL_GEST_ODONTO",25.8064516129032
"Continente","2017 Q1","PERCENTUAL_GEST_ODONTO",30.7692307692308
"Norte","2017 Q1","PERCENTUAL_GEST_ODONTO",26.8131868131868
"Sul","2017 Q1","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Centro","2017 Q2","PERCENTUAL_GEST_ODONTO",22.4409448818898
"Continente","2017 Q2","PERCENTUAL_GEST_ODONTO",27.5700934579439
"Norte","2017 Q2","PERCENTUAL_GEST_ODONTO",27.7777777777778
"Sul","2017 Q2","PERCENTUAL_GEST_ODONTO",27.9352226720648
"Centro","2017 Q3","PERCENTUAL_GEST_ODONTO",23.6842105263158
"Continente","2017 Q3","PERCENTUAL_GEST_ODONTO",30.7692307692308
"Norte","2017 Q3","PERCENTUAL_GEST_ODONTO",29.6912114014252
"Sul","2017 Q3","PERCENTUAL_GEST_ODONTO",28.6995515695067
"Centro","2017 Q4","PERCENTUAL_GEST_ODONTO",28.110599078341
"Continente","2017 Q4","PERCENTUAL_GEST_ODONTO",34.7826086956522
"Norte","2017 Q4","PERCENTUAL_GEST_ODONTO",35.3348729792148
"Sul","2017 Q4","PERCENTUAL_GEST_ODONTO",27.6699029126214
"Centro","2018 Q1","PERCENTUAL_GEST_ODONTO",28.1385281385281
"Continente","2018 Q1","PERCENTUAL_GEST_ODONTO",38.5714285714286
"Norte","2018 Q1","PERCENTUAL_GEST_ODONTO",31.1827956989247
"Sul","2018 Q1","PERCENTUAL_GEST_ODONTO",28.5714285714286
