"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Centro","CS SACO DOS LIMÕES",313,"2015 Q4",13.6363636363636
"Centro","CS SACO DOS LIMÕES",314,"2015 Q4",30
"Centro","CS JOÃO PAULO",320,"2015 Q4",12.2055674518201
"Centro","CS JOÃO PAULO",321,"2015 Q4",6.16438356164384
"Norte","CS SACO GRANDE",330,"2015 Q4",7.00934579439252
"Norte","CS SACO GRANDE",331,"2015 Q4",14.6616541353383
"Norte","CS SACO GRANDE",332,"2015 Q4",18.9292543021032
"Norte","CS SACO GRANDE",333,"2015 Q4",21.1920529801325
"Norte","CS SACO GRANDE",334,"2015 Q4",9.48905109489051
"Norte","CS SACO GRANDE",335,"2015 Q4",7.6320939334638
"Norte","CS VARGEM PEQUENA",340,"2015 Q4",16.4383561643836
"Norte","CS RATONES",350,"2015 Q4",35.7615894039735
"Norte","CS RATONES",351,"2015 Q4",33.3333333333333
"Norte","CS SANTO ANTONIO LISBOA",360,"2015 Q4",27.8571428571429
"Norte","CS SANTO ANTONIO LISBOA",361,"2015 Q4",13.2867132867133
"Norte","CS PONTA DAS CANAS",370,"2015 Q4",46.2857142857143
"Norte","CS PONTA DAS CANAS",371,"2015 Q4",38.4615384615385
"Norte","CS CANASVIEIRAS",380,"2015 Q4",43.6363636363636
"Norte","CS CANASVIEIRAS",381,"2015 Q4",27.34375
"Norte","CS CANASVIEIRAS",382,"2015 Q4",33.9195979899498
"Norte","CS CANASVIEIRAS",383,"2015 Q4",42.485549132948
"Norte","CS CANASVIEIRAS",384,"2015 Q4",36.75
"Norte","CS JURERE",390,"2015 Q4",41.8918918918919
"Continente","CS MONTE CRISTO",40,"2015 Q4",22.7272727272727
"Norte","CS CACHOEIRA BOM JESUS",400,"2015 Q4",43.6018957345972
"Norte","CS CACHOEIRA BOM JESUS",401,"2015 Q4",33.9779005524862
"Continente","CS MONTE CRISTO",41,"2015 Q4",18.9320388349515
"Norte","CS VARGEM GRANDE",410,"2015 Q4",70.9923664122137
"Continente","CS MONTE CRISTO",42,"2015 Q4",24.1379310344828
"Norte","CS RIO VERMELHO",420,"2015 Q4",39.0317700453858
"Norte","CS RIO VERMELHO",421,"2015 Q4",30.7129798903108
"Norte","CS RIO VERMELHO",422,"2015 Q4",22.1374045801527
"Norte","CS RIO VERMELHO",423,"2015 Q4",28.6806883365201
"Norte","CS RIO VERMELHO",424,"2015 Q4",24
"Continente","CS MONTE CRISTO",43,"2015 Q4",17.4418604651163
"Norte","CS INGLESES",431,"2015 Q4",25.3101736972705
"Norte","CS INGLESES",432,"2015 Q4",34.8733233979136
"Norte","CS INGLESES",433,"2015 Q4",27.8761061946903
"Norte","CS INGLESES",434,"2015 Q4",36.3905325443787
"Norte","CS INGLESES",435,"2015 Q4",38.0281690140845
"Norte","CS INGLESES",436,"2015 Q4",30.8900523560209
"Norte","CS INGLESES",437,"2015 Q4",28.2352941176471
"Norte","CS INGLESES",438,"2015 Q4",23.0769230769231
"Continente","CS MONTE CRISTO",44,"2015 Q4",13.4903640256959
"Norte","CS BARRA DA LAGOA",440,"2015 Q4",36.6359447004608
"Norte","CS BARRA DA LAGOA",441,"2015 Q4",29.5180722891566
"Norte","CS BARRA DA LAGOA",442,"2015 Q4",17.5182481751825
"Continente","CS MONTE CRISTO",45,"2015 Q4",19.8044009779951
"Sul","CS CANTO DA LAGOA",450,"2015 Q4",21.0332103321033
"Continente","CS MONTE CRISTO",46,"2015 Q4",16.2162162162162
"Sul","CS COSTA DA LAGOA",460,"2015 Q4",36.25
"Sul","CS LAGOA DA CONCEIÇÃO",470,"2015 Q4",31.4516129032258
"Sul","CS LAGOA DA CONCEIÇÃO",471,"2015 Q4",41.7613636363636
"Sul","CS LAGOA DA CONCEIÇÃO",472,"2015 Q4",33.8600451467269
"Continente","CS ABRAÃO",570,"2015 Q4",27.0422535211268
"Continente","CS ABRAÃO",571,"2015 Q4",22.8
"Continente","CS ABRAÃO",572,"2015 Q4",24.2152466367713
"Continente","CS CAPOEIRAS",60,"2015 Q4",41.3173652694611
"Continente","CS COQUEIROS",600,"2015 Q4",28.5276073619632
"Continente","CS COQUEIROS",601,"2015 Q4",24.5762711864407
"Continente","CS COQUEIROS",602,"2015 Q4",26.1261261261261
"Continente","CS CAPOEIRAS",61,"2015 Q4",36.2637362637363
"Continente","CS CAPOEIRAS",62,"2015 Q4",41.0526315789474
"Centro","CS AGRONÔMICA",690,"2015 Q4",33.7696335078534
"Centro","CS AGRONÔMICA",691,"2015 Q4",35.1851851851852
"Centro","CS AGRONÔMICA",692,"2015 Q4",26.9102990033223
"Centro","CS AGRONÔMICA",693,"2015 Q4",31.3186813186813
"Continente","CS COLONINHA",70,"2015 Q4",40.3448275862069
"Continente","CS COLONINHA",71,"2015 Q4",21.2014134275618
"Continente","CS COLONINHA",72,"2015 Q4",38.1818181818182
"Sul","CS FAZENDA DO RIO TAVARES",780,"2015 Q4",54.9473684210526
"Sul","CS FAZENDA DO RIO TAVARES",781,"2015 Q4",37.0018975332068
"Continente","CS ESTREITO",80,"2015 Q4",29.9168975069252
"Continente","CS ESTREITO",81,"2015 Q4",36.2229102167183
"Continente","CS ESTREITO",82,"2015 Q4",33.1168831168831
"Continente","CS ESTREITO",83,"2015 Q4",31.7829457364341
"Centro","CS TRINDADE",850,"2015 Q4",22.4755700325733
"Centro","CS TRINDADE",851,"2015 Q4",26.4437689969605
"Centro","CS TRINDADE",852,"2015 Q4",29.9120234604106
"Centro","CS TRINDADE",853,"2015 Q4",24
"Centro","CS TRINDADE",854,"2015 Q4",25
"Continente","CS VILA APARECIDA",90,"2015 Q4",22.4669603524229
"Continente","CS VILA APARECIDA",91,"2015 Q4",33.5820895522388
"Centro","CS CENTRO",950,"2015 Q4",22.1052631578947
"Centro","CS CENTRO",951,"2015 Q4",40.8602150537634
"Centro","CS CENTRO",952,"2015 Q4",45.7627118644068
"Norte","CS SANTINHO",980,"2015 Q4",39.8496240601504
"Norte","CS SANTINHO",981,"2015 Q4",34.6153846153846
"Continente","CS JARDIM ATLÂNTICO",10,"2016 Q1",23.3009708737864
"Continente","CS NOVO CONTINENTE",100,"2016 Q1",16.8900804289544
"Continente","CS NOVO CONTINENTE",101,"2016 Q1",10.4895104895105
"Continente","CS NOVO CONTINENTE",102,"2016 Q1",13.7755102040816
"Continente","CS JARDIM ATLÂNTICO",11,"2016 Q1",27.4509803921569
"Centro","CS MONTE SERRAT",120,"2016 Q1",9.59302325581395
"Centro","CS MONTE SERRAT",121,"2016 Q1",17.6470588235294
"Centro","CS MONTE SERRAT",122,"2016 Q1",10.5882352941176
"Centro","CS PRAINHA",130,"2016 Q1",7.52089136490251
"Centro","CS PRAINHA",131,"2016 Q1",9.91735537190083
"Centro","CS PRAINHA",132,"2016 Q1",15.9574468085106
"Centro","CS PANTANAL",160,"2016 Q1",15.5844155844156
"Centro","CS PANTANAL",161,"2016 Q1",15.358361774744
"Centro","CS CÓRREGO GRANDE",170,"2016 Q1",19.8675496688742
"Centro","CS CÓRREGO GRANDE",171,"2016 Q1",15.2777777777778
"Centro","CS CÓRREGO GRANDE",172,"2016 Q1",17.1428571428571
