"DISTRITO","TRIMESTRE","PROCEDIMENTO","VALOR"
"Sul","2017 Q2","TESTE RÁPIDO PARA SÍFILIS",81
"Centro","2017 Q3","TESTE RÁPIDO PARA SÍFILIS",124
"Continente","2017 Q3","TESTE RÁPIDO PARA SÍFILIS",87
"Norte","2017 Q3","TESTE RÁPIDO PARA SÍFILIS",171
"Sul","2017 Q3","TESTE RÁPIDO PARA SÍFILIS",142
"Centro","2017 Q4","TESTE RÁPIDO PARA SÍFILIS",229
"Continente","2017 Q4","TESTE RÁPIDO PARA SÍFILIS",104
"Norte","2017 Q4","TESTE RÁPIDO PARA SÍFILIS",191
"Sul","2017 Q4","TESTE RÁPIDO PARA SÍFILIS",138
"Centro","2018 Q1","TESTE RÁPIDO PARA SÍFILIS",269
"Continente","2018 Q1","TESTE RÁPIDO PARA SÍFILIS",149
"Norte","2018 Q1","TESTE RÁPIDO PARA SÍFILIS",215
"Sul","2018 Q1","TESTE RÁPIDO PARA SÍFILIS",207
